dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
cell_viability,CV,leave_one_publication_out,1,33,CV_leave_one_publication_out_r01_f033,3691203163,605,3,74,1,0,0,0.0,doi:10.1021/acsami.7b04216
cell_viability,CV,leave_one_publication_out,1,34,CV_leave_one_publication_out_r01_f034,3691203163,596,12,74,1,0,0,0.0,doi:10.1021/acsami.7b16059
cell_viability,CV,leave_one_publication_out,1,35,CV_leave_one_publication_out_r01_f035,3691203163,602,6,74,1,0,0,0.0,doi:10.1021/acsami.9b09782
cell_viability,CV,leave_one_publication_out,1,36,CV_leave_one_publication_out_r01_f036,3691203163,596,12,74,1,0,0,0.0,doi:10.1021/acsbiomaterials.9b00167
cell_viability,CV,leave_one_publication_out,1,37,CV_leave_one_publication_out_r01_f037,3691203163,606,2,74,1,0,0,0.0,doi:10.1038/s41598-017-17286-1
cell_viability,CV,leave_one_publication_out,1,38,CV_leave_one_publication_out_r01_f038,3691203163,588,20,74,1,0,0,0.0,doi:10.1038/s41598-018-26407-3
cell_viability,CV,leave_one_publication_out,1,39,CV_leave_one_publication_out_r01_f039,3691203163,593,15,74,1,0,0,0.0,doi:10.1038/s41598-019-55034-9
cell_viability,CV,leave_one_publication_out,1,40,CV_leave_one_publication_out_r01_f040,3691203163,590,18,74,1,0,0,0.0,doi:10.1038/s41598-020-65050-9
cell_viability,CV,leave_one_publication_out,1,41,CV_leave_one_publication_out_r01_f041,3691203163,605,3,74,1,0,0,0.0,doi:10.1038/srep29977
cell_viability,CV,leave_one_publication_out,1,42,CV_leave_one_publication_out_r01_f042,3691203163,602,6,74,1,0,0,0.0,doi:10.1039/c3bm00012e
cell_viability,CV,leave_one_publication_out,1,43,CV_leave_one_publication_out_r01_f043,3691203163,605,3,74,1,0,0,0.0,doi:10.1039/c4bm00234b
cell_viability,CV,leave_one_publication_out,1,44,CV_leave_one_publication_out_r01_f044,3691203163,604,4,74,1,0,0,0.0,doi:10.1088/0960-1317/22/8/085014
cell_viability,CV,leave_one_publication_out,1,45,CV_leave_one_publication_out_r01_f045,3691203163,605,3,74,1,0,0,0.0,doi:10.1088/1758-5082/5/2/025004
cell_viability,CV,leave_one_publication_out,1,46,CV_leave_one_publication_out_r01_f046,3691203163,599,9,74,1,0,0,0.0,doi:10.1088/1758-5082/6/2/024105
cell_viability,CV,leave_one_publication_out,1,47,CV_leave_one_publication_out_r01_f047,3691203163,604,4,74,1,0,0,0.0,doi:10.1088/1758-5082/6/3/035001
cell_viability,CV,leave_one_publication_out,1,48,CV_leave_one_publication_out_r01_f048,3691203163,605,3,74,1,0,0,0.0,doi:10.1088/1758-5090/7/4/044101
cell_viability,CV,leave_one_publication_out,1,49,CV_leave_one_publication_out_r01_f049,3691203163,598,10,74,1,0,0,0.0,doi:10.1088/1758-5090/7/4/044102
cell_viability,CV,leave_one_publication_out,1,50,CV_leave_one_publication_out_r01_f050,3691203163,597,11,74,1,0,0,0.0,doi:10.1088/1758-5090/7/4/045012
cell_viability,CV,leave_one_publication_out,1,51,CV_leave_one_publication_out_r01_f051,3691203163,594,14,74,1,0,0,0.0,doi:10.1088/1758-5090/8/3/035020
cell_viability,CV,leave_one_publication_out,1,52,CV_leave_one_publication_out_r01_f052,3691203163,604,4,74,1,0,0,0.0,doi:10.1088/1758-5090/8/4/045001
cell_viability,CV,leave_one_publication_out,1,53,CV_leave_one_publication_out_r01_f053,3691203163,604,4,74,1,0,0,0.0,doi:10.1088/1758-5090/8/4/045002
cell_viability,CV,leave_one_publication_out,1,54,CV_leave_one_publication_out_r01_f054,3691203163,607,1,74,1,0,0,0.0,doi:10.1088/1758-5090/8/4/045005
cell_viability,CV,leave_one_publication_out,1,55,CV_leave_one_publication_out_r01_f055,3691203163,600,8,74,1,0,0,0.0,doi:10.1088/1758-5090/aa7b1d
cell_viability,CV,leave_one_publication_out,1,56,CV_leave_one_publication_out_r01_f056,3691203163,602,6,74,1,0,0,0.0,doi:10.1088/1758-5090/aacd30
cell_viability,CV,leave_one_publication_out,1,57,CV_leave_one_publication_out_r01_f057,3691203163,604,4,74,1,0,0,0.0,doi:10.1088/1758-5090/ab0692
cell_viability,CV,leave_one_publication_out,1,58,CV_leave_one_publication_out_r01_f058,3691203163,602,6,74,1,0,0,0.0,doi:10.1088/1758-5090/ab15cb
cell_viability,CV,leave_one_publication_out,1,59,CV_leave_one_publication_out_r01_f059,3691203163,600,8,74,1,0,0,0.0,doi:10.1088/1758-5090/ab19fd
cell_viability,CV,leave_one_publication_out,1,60,CV_leave_one_publication_out_r01_f060,3691203163,599,9,74,1,0,0,0.0,doi:10.1088/1758-5090/ab2622
cell_viability,CV,leave_one_publication_out,1,61,CV_leave_one_publication_out_r01_f061,3691203163,607,1,74,1,0,0,0.0,doi:10.1088/1758-5090/ab38ef
cell_viability,CV,leave_one_publication_out,1,62,CV_leave_one_publication_out_r01_f062,3691203163,604,4,74,1,0,0,0.0,doi:10.1088/1758-5090/ab7553
cell_viability,CV,leave_one_publication_out,1,63,CV_leave_one_publication_out_r01_f063,3691203163,594,14,74,1,0,0,0.0,doi:10.1088/1758-5090/abc39b
cell_viability,CV,leave_one_publication_out,1,64,CV_leave_one_publication_out_r01_f064,3691203163,604,4,74,1,0,0,0.0,doi:10.1089/biores.2013.0031
cell_viability,CV,leave_one_publication_out,1,65,CV_leave_one_publication_out_r01_f065,3691203163,587,21,74,1,0,0,0.0,doi:10.1089/ten.a.2007.0004
cell_viability,CV,leave_one_publication_out,1,66,CV_leave_one_publication_out_r01_f066,3691203163,599,9,74,1,0,0,0.0,doi:10.1089/ten.a.2007.0158
cell_viability,CV,leave_one_publication_out,1,67,CV_leave_one_publication_out_r01_f067,3691203163,602,6,74,1,0,0,0.0,doi:10.1089/ten.tec.2007.0392
cell_viability,CV,leave_one_publication_out,1,68,CV_leave_one_publication_out_r01_f068,3691203163,598,10,74,1,0,0,0.0,doi:10.1089/ten.tec.2015.0307
cell_viability,CV,leave_one_publication_out,1,69,CV_leave_one_publication_out_r01_f069,3691203163,604,4,74,1,0,0,0.0,doi:10.1115/1.3128729
cell_viability,CV,leave_one_publication_out,1,70,CV_leave_one_publication_out_r01_f070,3691203163,578,30,74,1,0,0,0.0,doi:10.1115/1.4024575
cell_viability,CV,leave_one_publication_out,1,71,CV_leave_one_publication_out_r01_f071,3691203163,606,2,74,1,0,0,0.0,doi:10.1115/1.4043960
cell_viability,CV,leave_one_publication_out,1,72,CV_leave_one_publication_out_r01_f072,3691203163,589,19,74,1,0,0,0.0,doi:10.18063/ijb.v5i2.2.204
cell_viability,CV,leave_one_publication_out,1,73,CV_leave_one_publication_out_r01_f073,3691203163,606,2,74,1,0,0,0.0,doi:10.18063/ijb.v6i1.250
cell_viability,CV,leave_one_publication_out,1,74,CV_leave_one_publication_out_r01_f074,3691203163,605,3,74,1,0,0,0.0,doi:10.3390/ma13194237
cell_viability,CV,leave_one_publication_out,1,75,CV_leave_one_publication_out_r01_f075,3691203163,606,2,74,1,0,0,0.0,doi:10.3390/polym12102346
filament_diameter,FD,random_rowwise,1,1,FD_random_rowwise_r01_f001,3599849752,228,58,51,32,29,55,0.9482758620689655,
filament_diameter,FD,random_rowwise,1,2,FD_random_rowwise_r01_f002,3599849752,229,57,51,31,28,53,0.9298245614035088,
filament_diameter,FD,random_rowwise,1,3,FD_random_rowwise_r01_f003,3599849752,229,57,53,27,26,54,0.9473684210526315,
filament_diameter,FD,random_rowwise,1,4,FD_random_rowwise_r01_f004,3599849752,229,57,52,32,30,55,0.9649122807017544,
