dataset,outer_validation_design,outer_repeat,outer_fold,outer_split_id,inner_validation_design,inner_fold,inner_seed,inner_train_rows,inner_validation_rows,inner_train_sources,inner_validation_sources,overlapping_source_count,validation_source_seen_fraction
cell_viability,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,publication_grouped,4,2074177286,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,publication_grouped,1,692090319,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,publication_grouped,2,692090319,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,publication_grouped,3,692090319,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,publication_grouped,4,692090319,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,publication_grouped,1,1583258510,450,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,publication_grouped,2,1583258510,450,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,publication_grouped,3,1583258510,450,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,publication_grouped,4,1583258510,450,150,57,17,0,0.0
cell_viability,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,publication_grouped,1,178501643,451,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,publication_grouped,2,178501643,452,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,publication_grouped,3,178501643,452,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,publication_grouped,4,178501643,451,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,publication_grouped,1,3841924555,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,publication_grouped,2,3841924555,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,publication_grouped,3,3841924555,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,publication_grouped,4,3841924555,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,publication_grouped,1,1364955478,451,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,publication_grouped,2,1364955478,452,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,publication_grouped,3,1364955478,451,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,publication_grouped,4,1364955478,452,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,publication_grouped,1,180702973,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,publication_grouped,2,180702973,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,publication_grouped,3,180702973,449,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,publication_grouped,4,180702973,450,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,29,CV_leave_one_publication_out_r01_f029,publication_grouped,1,1150139474,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,29,CV_leave_one_publication_out_r01_f029,publication_grouped,2,1150139474,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,29,CV_leave_one_publication_out_r01_f029,publication_grouped,3,1150139474,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,29,CV_leave_one_publication_out_r01_f029,publication_grouped,4,1150139474,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,30,CV_leave_one_publication_out_r01_f030,publication_grouped,1,3593307756,452,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,30,CV_leave_one_publication_out_r01_f030,publication_grouped,2,3593307756,453,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,30,CV_leave_one_publication_out_r01_f030,publication_grouped,3,3593307756,452,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,30,CV_leave_one_publication_out_r01_f030,publication_grouped,4,3593307756,452,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,31,CV_leave_one_publication_out_r01_f031,publication_grouped,1,138076658,455,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,31,CV_leave_one_publication_out_r01_f031,publication_grouped,2,138076658,454,152,55,19,0,0.0
cell_viability,leave_one_publication_out,1,31,CV_leave_one_publication_out_r01_f031,publication_grouped,3,138076658,455,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,31,CV_leave_one_publication_out_r01_f031,publication_grouped,4,138076658,454,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,32,CV_leave_one_publication_out_r01_f032,publication_grouped,1,85225469,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,32,CV_leave_one_publication_out_r01_f032,publication_grouped,2,85225469,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,32,CV_leave_one_publication_out_r01_f032,publication_grouped,3,85225469,447,149,57,17,0,0.0
cell_viability,leave_one_publication_out,1,32,CV_leave_one_publication_out_r01_f032,publication_grouped,4,85225469,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,33,CV_leave_one_publication_out_r01_f033,publication_grouped,1,1067915380,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,33,CV_leave_one_publication_out_r01_f033,publication_grouped,2,1067915380,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,33,CV_leave_one_publication_out_r01_f033,publication_grouped,3,1067915380,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,33,CV_leave_one_publication_out_r01_f033,publication_grouped,4,1067915380,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,34,CV_leave_one_publication_out_r01_f034,publication_grouped,1,3888083480,447,149,57,17,0,0.0
