outcome_key,outcome_label,unit,meta_primary_source_id,row_count,outcome_mean,outcome_median,outcome_minimum,outcome_maximum,outcome_standard_deviation,ordered_publication_rank,ordered_rank_fraction
filament_diameter,Filament diameter,µm,ref:das ghosh actabiomat 2015,3,350.74333333333334,355.52,334.34,362.37,14.612755843212256,12,0.2222222222222222
filament_diameter,Filament diameter,µm,ref:lim levato advhealthmat 2020,4,351.135,351.855,281.83,419.0,72.89485601421636,13,0.24074074074074073
filament_diameter,Filament diameter,µm,ref:li li acsapplmatinterf 2017,2,353.56,353.56,336.92,370.2,23.532513677888282,14,0.25925925925925924
filament_diameter,Filament diameter,µm,ref:kolesky lewis advmat 2014,4,366.9225,362.395,223.36,519.54,157.67978276135045,15,0.2777777777777778
filament_diameter,Filament diameter,µm,ref:sakai nagasuna mattodbio 2020,1,400.0,400.0,400.0,400.0,,16,0.2962962962962963
filament_diameter,Filament diameter,µm,ref:sanz garcia escobedo lucea polymers 2020,2,400.0,400.0,400.0,400.0,0.0,17,0.3148148148148148
filament_diameter,Filament diameter,µm,ref:mondal singh scirep 2019,4,407.9425,407.09,293.09,524.5,98.58786449152858,18,0.3333333333333333
filament_diameter,Filament diameter,µm,ref:ouyang 2015,3,415.0,415.0,415.0,415.0,0.0,19,0.35185185185185186
filament_diameter,Filament diameter,µm,ref:moncal ozbolat jmatscimatmed 2019,1,462.0,462.0,462.0,462.0,,20,0.37037037037037035
filament_diameter,Filament diameter,µm,ref:shim cho jmicromechmicroeng 2012,4,475.1275,603.88,68.27,624.48,271.4916892988316,21,0.3888888888888889
filament_diameter,Filament diameter,µm,ref:be22assoni khademhosseini biofab 2014,3,477.09999999999997,466.6,466.5,498.2,18.273204426153622,22,0.4074074074074074
filament_diameter,Filament diameter,µm,ref:daly kelly biofab 2016,4,477.82500000000005,502.39,265.1,641.42,156.23448114932887,23,0.42592592592592593
filament_diameter,Filament diameter,µm,ref:akkineni gelinsky biofab 2016,2,482.21,482.21,355.88,608.54,178.65759933459307,24,0.4444444444444444
filament_diameter,Filament diameter,µm,ref:zhao 2014,4,500.0,500.0,500.0,500.0,0.0,25,0.46296296296296297
filament_diameter,Filament diameter,µm,ref:ouyang 2016,11,500.0,500.0,500.0,500.0,0.0,26,0.48148148148148145
filament_diameter,Filament diameter,µm,ref:li zhou addman 2021,4,513.2988250000001,539.34215,307.47,667.041,150.2904695312464,27,0.5
filament_diameter,Filament diameter,µm,ref:markstedt mantas biomacromol 2015,2,556.4343,556.4343,443.96,668.9086,159.06268047842022,28,0.5185185185185185
filament_diameter,Filament diameter,µm,ref:ouyang burdick advmat 2017,10,567.9739999999999,580.49,410.53,688.16,98.89873554971936,29,0.5370370370370371
filament_diameter,Filament diameter,µm,ref:kilian ahlfeld akkineni bioprint 2020,12,576.9830833333334,516.3195000000001,333.28,910.8,249.3563089839183,30,0.5555555555555556
filament_diameter,Filament diameter,µm,ref:yin suo appmatint 2018,9,592.2177777777778,620.95,460.74,713.0,88.48079859180999,31,0.5740740740740741
filament_diameter,Filament diameter,µm,ref:fedorovich dhe22 tissueeng 2008,5,600.0,430.0,430.0,1280.0,380.13155617496426,32,0.5925925925925926
filament_diameter,Filament diameter,µm,ref:li fu scirep 2018,8,622.420875,608.915,488.83,793.49,99.20480021715176,33,0.6111111111111112
filament_diameter,Filament diameter,µm,ref:liu zhang advhealthmat 2017,3,631.1333333333333,636.51,608.85,648.04,20.140641333714587,34,0.6296296296296297
filament_diameter,Filament diameter,µm,ref:ojansivu mustafa biofab 2019,6,698.54,700.0350000000001,573.26,829.36,82.32976448405522,35,0.6481481481481481
filament_diameter,Filament diameter,µm,ref:zhang ozbolat biomatsci 2015,3,732.6133333333333,700.35,677.57,819.92,76.4628840244293,36,0.6666666666666666
filament_diameter,Filament diameter,µm,ref:mistry yang biomacromolj 2018,30,800.0,800.0,800.0,800.0,0.0,37,0.6851851851851852
filament_diameter,Filament diameter,µm,ref:duin 2019,2,842.7149999999999,842.7149999999999,763.25,922.18,112.380480733978,38,0.7037037037037037
filament_diameter,Filament diameter,µm,ref:yang zhao matsciengc 2018,6,928.3318666666668,804.686,747.1096,1233.2,237.5494803208011,39,0.7222222222222222
filament_diameter,Filament diameter,µm,ref:gao ma biomat 2015,1,930.16,930.16,930.16,930.16,,40,0.7407407407407407
filament_diameter,Filament diameter,µm,ref:duan butcher jbiomedmatres 2012,2,941.3,941.3,941.3,941.3,0.0,41,0.7592592592592593
filament_diameter,Filament diameter,µm,ref:yao 2019,1,973.0,973.0,973.0,973.0,,42,0.7777777777777778
filament_diameter,Filament diameter,µm,ref:jia khademhosseini biomat 2016,9,987.44,950.61,838.11,1160.49,123.32976698672547,43,0.7962962962962963
filament_diameter,Filament diameter,µm,ref:soltan chen acsbiomat 2019,9,1042.4855555555557,1015.34,833.96,1560.65,221.3727634054781,44,0.8148148148148148
