dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_rank
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,extrusion_rate_volume_wise_ml_or_s,0.14502981008039564,581.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,final_alginate_conc_pctw_or_v,0.7098607683404079,152.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,final_nano_or_methylcellulose_concentration_pct_wv,0.927793603569879,76.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,physical_crosslinking_duration_s,0.8637599745911466,97.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,syringe_temperature_degc,0.3664997695459798,339.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,cell_density_cells_or_ml,0.9616489349847599,68.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,conical_or_straight_nozzle,1.775409317029163,8.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,days_observed,0.5120280366342881,245.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,extrusion_pressure_kpa,1.1145515332463296,45.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,extrusion_rate_lengthwise_mm_or_s,0.6583044061916334,180.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,extrusion_rate_volume_wise_ml_or_s,3.0693796568692,2.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,final_alginate_conc_pctw_or_v,0.35447313403337094,346.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,final_nano_or_methylcellulose_concentration_pct_wv,1.5908254741393284,15.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,physical_crosslinking_duration_s,0.4430047460102306,286.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f01,syringe_temperature_degc,0.9777338357838168,63.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,cell_density_cells_or_ml,0.445217018468774,283.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,conical_or_straight_nozzle,0.42030722904271867,302.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,days_observed,0.8284997773925834,109.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,extrusion_pressure_kpa,1.2644561938099161,31.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,extrusion_rate_lengthwise_mm_or_s,0.646713533269243,182.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,extrusion_rate_volume_wise_ml_or_s,0.5387866756505968,228.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,final_alginate_conc_pctw_or_v,0.8103541404553627,117.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,final_nano_or_methylcellulose_concentration_pct_wv,0.8223614804706673,111.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,physical_crosslinking_duration_s,0.504684680192989,252.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f02,syringe_temperature_degc,0.7167955481688096,149.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,cell_density_cells_or_ml,0.8556195326700201,99.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,conical_or_straight_nozzle,0.40334583090727333,316.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,days_observed,0.8125479048804554,115.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,extrusion_pressure_kpa,1.9508849026477253,5.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,extrusion_rate_lengthwise_mm_or_s,0.869997246430899,96.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,extrusion_rate_volume_wise_ml_or_s,1.4383576025746219,19.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,final_alginate_conc_pctw_or_v,0.6121554905949431,200.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,final_nano_or_methylcellulose_concentration_pct_wv,0.6952901169482478,164.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,physical_crosslinking_duration_s,0.6348119325656837,189.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f03,syringe_temperature_degc,0.4184999409566838,304.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,cell_density_cells_or_ml,0.4449976641566815,284.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,conical_or_straight_nozzle,0.4605620326244113,275.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,days_observed,0.9718862535667435,65.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,extrusion_pressure_kpa,1.0507453402871627,53.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,extrusion_rate_lengthwise_mm_or_s,1.3025367758106023,29.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,extrusion_rate_volume_wise_ml_or_s,0.9213229286728725,79.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,final_alginate_conc_pctw_or_v,0.6933638746703024,165.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,final_nano_or_methylcellulose_concentration_pct_wv,0.13449096930274795,591.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,physical_crosslinking_duration_s,0.6634689016417217,178.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f04,syringe_temperature_degc,0.6122398136588159,199.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,cell_density_cells_or_ml,0.5270075229668788,235.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,conical_or_straight_nozzle,1.3384006515471085,23.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,days_observed,1.056891682770414,52.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,extrusion_pressure_kpa,1.5479088866824946,16.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,extrusion_rate_lengthwise_mm_or_s,0.4598786416918408,276.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,extrusion_rate_volume_wise_ml_or_s,0.15378420264618822,572.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,final_alginate_conc_pctw_or_v,0.7817732200061012,126.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,final_nano_or_methylcellulose_concentration_pct_wv,1.1621495344035189,39.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,physical_crosslinking_duration_s,0.4961942359483217,255.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r02__f05,syringe_temperature_degc,0.40403443160355873,315.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,cell_density_cells_or_ml,1.182796982252941,37.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,conical_or_straight_nozzle,0.953840257465669,70.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,days_observed,0.8445607259054129,104.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,extrusion_pressure_kpa,1.7523625588681484,10.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,extrusion_rate_lengthwise_mm_or_s,0.6893168907072152,166.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,extrusion_rate_volume_wise_ml_or_s,0.9536976231117432,71.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,final_alginate_conc_pctw_or_v,0.7067033667290366,155.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,final_nano_or_methylcellulose_concentration_pct_wv,0.5539431812159241,220.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,physical_crosslinking_duration_s,0.5778986257724572,211.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f01,syringe_temperature_degc,0.429428610679904,292.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,cell_density_cells_or_ml,0.43298917652875973,290.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,conical_or_straight_nozzle,1.0300510135704095,56.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,days_observed,0.7055433474550955,160.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,extrusion_pressure_kpa,0.8943666567467647,92.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,extrusion_rate_lengthwise_mm_or_s,1.0229687786264814,57.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,extrusion_rate_volume_wise_ml_or_s,1.3271978855220792,24.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,final_alginate_conc_pctw_or_v,0.6326753623241593,191.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,final_nano_or_methylcellulose_concentration_pct_wv,0.685502247504768,168.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,physical_crosslinking_duration_s,0.7045626056988066,161.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f02,syringe_temperature_degc,0.8504911321775273,103.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,cell_density_cells_or_ml,0.3960658847986648,321.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,conical_or_straight_nozzle,1.070708974986553,50.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,days_observed,0.8294082265476262,108.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,extrusion_pressure_kpa,2.022498442645118,4.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,extrusion_rate_lengthwise_mm_or_s,0.39064931305368084,327.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,extrusion_rate_volume_wise_ml_or_s,0.154953266208598,571.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,final_alginate_conc_pctw_or_v,0.5053912169206095,251.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,final_nano_or_methylcellulose_concentration_pct_wv,0.9097692879684798,86.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,physical_crosslinking_duration_s,0.3875692500780917,329.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f03,syringe_temperature_degc,0.38040105249948397,333.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,cell_density_cells_or_ml,0.44859852879108414,282.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,conical_or_straight_nozzle,0.31534403558907786,388.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,days_observed,0.6371047811151415,187.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,extrusion_pressure_kpa,0.6823504363502928,169.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,extrusion_rate_lengthwise_mm_or_s,0.3919571435359034,326.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,extrusion_rate_volume_wise_ml_or_s,0.9113052096644119,83.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,final_alginate_conc_pctw_or_v,0.6159967328901814,197.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,final_nano_or_methylcellulose_concentration_pct_wv,1.2862359928277918,30.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,physical_crosslinking_duration_s,0.9072156409682137,88.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f04,syringe_temperature_degc,0.5147692969450269,242.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,cell_density_cells_or_ml,0.34463576544413355,356.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,conical_or_straight_nozzle,0.5386711484506714,229.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,days_observed,0.8166342144203231,113.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,extrusion_pressure_kpa,1.6550890154476103,12.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,extrusion_rate_lengthwise_mm_or_s,1.3173103659785759,25.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,extrusion_rate_volume_wise_ml_or_s,1.078263540058636,49.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r03__f05,final_alginate_conc_pctw_or_v,0.5666978998017836,215.0
