global_task_number,task_id,dataset,target_family,target_key,target_column,feature_set,validation_design,repeat,outer_fold,outer_split_id,task_elapsed_seconds,model_key,selected_candidate_id,selected_complexity_rank,inner_mean_publication_macro_mae,inner_mean_row_mae,inner_total_convergence_warnings,preprocessing_variant,outer_training_rows,outer_test_rows,outer_training_sources,outer_test_sources,outer_source_overlap,output_feature_count,outer_row_mae,outer_publication_macro_mae,outer_fit_seconds,outer_convergence_warning_count,selected_parameters_json
7,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,2,CV_publication_grouped_r02_f002,19.03488959400056,random_forest,random_forest_06,6,12.065806329052933,13.44494309240472,0,unscaled,487,121,60,15,0,33,13.104677232205361,13.635975289056324,0.6346562059989083,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
7,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,2,CV_publication_grouped_r02_f002,19.03488959400056,rbf_svr,rbf_svr_02,2,11.198128027127861,12.80084752792201,0,scaled,487,121,60,15,0,33,13.707587355140946,12.174509014750738,0.016426970998509205,0,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}"
8,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,3,CV_publication_grouped_r02_f003,18.812733845001276,ridge,ridge_01,1,14.511239108363576,15.944254082190689,0,scaled,486,122,61,14,0,33,9.924105599657183,12.458344275701672,0.0017448090002289973,0,"{""alpha"": 100.0}"
8,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,3,CV_publication_grouped_r02_f003,18.812733845001276,elastic_net,elastic_net_03,3,13.717118898424797,15.056672006164465,0,scaled,486,122,61,14,0,33,10.051155336737827,12.640019446518917,0.0016431000003649388,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
8,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,3,CV_publication_grouped_r02_f003,18.812733845001276,random_forest,random_forest_06,6,12.063822012007074,13.238007090877565,0,unscaled,486,122,61,14,0,33,11.58462006409194,12.254142406471967,0.7513832240001648,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
8,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,3,CV_publication_grouped_r02_f003,18.812733845001276,rbf_svr,rbf_svr_02,2,11.433348457137686,13.500526610970896,0,scaled,486,122,61,14,0,33,10.096511799059044,11.816899436904409,0.028658117000304628,0,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}"
9,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,4,CV_publication_grouped_r02_f004,19.983883961000174,ridge,ridge_01,1,16.26091563812529,16.676204823003758,0,scaled,486,122,60,15,0,33,13.649516346744655,13.068654573938337,0.0026666730009310413,0,"{""alpha"": 100.0}"
9,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,4,CV_publication_grouped_r02_f004,19.983883961000174,elastic_net,elastic_net_03,3,14.961489773562752,15.62000901671286,0,scaled,486,122,60,15,0,33,12.068442192231215,11.026060149767398,0.0022728219992131926,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
9,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,4,CV_publication_grouped_r02_f004,19.983883961000174,random_forest,random_forest_06,6,11.680851778221442,12.216443843718496,0,unscaled,486,122,60,15,0,33,13.056746511810116,11.50520374298139,1.054714605999834,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,4,CV_publication_grouped_r02_f004,19.983883961000174,rbf_svr,rbf_svr_03,3,11.190043743154865,12.853883567480604,0,scaled,486,122,60,15,0,33,14.03686649792232,12.267257636830022,0.03132681299939577,0,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}"
10,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,5,CV_publication_grouped_r02_f005,18.9391054000007,ridge,ridge_01,1,12.725777002212556,13.062243682055257,0,scaled,487,121,60,15,0,33,17.595447556537824,13.080703051882985,0.001758050999342231,0,"{""alpha"": 100.0}"
10,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,5,CV_publication_grouped_r02_f005,18.9391054000007,elastic_net,elastic_net_01,1,12.240180839874238,12.682888515311134,0,scaled,487,121,60,15,0,33,17.249386287621462,13.068806389223637,0.0015351050005847355,0,"{""alpha"": 1.0, ""l1_ratio"": 0.9}"
10,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,5,CV_publication_grouped_r02_f005,18.9391054000007,random_forest,random_forest_06,6,10.839760079347329,11.979738484410056,0,unscaled,487,121,60,15,0,33,13.986185903678496,11.855938258466132,0.6215259979999246,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
10,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,5,CV_publication_grouped_r02_f005,18.9391054000007,rbf_svr,rbf_svr_03,3,11.465933845336012,12.938624782076477,0,scaled,487,121,60,15,0,33,12.900751038101653,10.501102403477109,0.018970184999488993,0,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}"
11,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,1,CV_publication_grouped_r03_f001,18.823124440001266,ridge,ridge_01,1,14.068106837308676,14.851584586746814,0,scaled,486,122,59,16,0,33,15.140902818819763,15.38265259762646,0.001700840000921744,0,"{""alpha"": 100.0}"
