scenario_key,scenario_label,source_column,feature_mode,validation_design,analysis_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/ab0692,5,4,11.980154491985695,13.886071255234853,-6.359917454230862
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/ab15cb,5,6,3.429686853457904,4.222581462739088,-1.9168771740139001
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/ab19fd,5,8,9.757114478845926,14.107320488601394,7.300617285819601
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/ab2622,5,9,7.205797133889483,7.628940942152734,-7.205797133889483
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/ab38ef,5,1,12.793312024244248,12.793312024244248,-12.793312024244248
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/ab7553,5,4,18.252291644385696,19.55922023905879,18.252291644385696
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/abc39b,5,14,6.25283145943068,7.611142799676676,4.454262460965286
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1089/biores.2013.0031,5,4,18.38280716520743,18.457780211739724,-18.38280716520743
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1089/ten.a.2007.0004,5,21,13.39600818340121,15.031371873853644,10.638998985643521
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1089/ten.a.2007.0158,5,9,7.583612394343318,9.489035948231281,0.42697546348778503
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1089/ten.tec.2007.0392,5,6,2.6980692252168783,3.0323137375951537,-2.215087579939384
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1089/ten.tec.2015.0307,5,10,4.23918548543452,5.014094119195176,-2.065956664911624
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1115/1.3128729,5,4,6.076869429621306,6.6005244370663645,-1.376850533884671
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1115/1.4024575,5,30,18.51939693435328,22.102361610995843,10.454973784114406
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1115/1.4043960,5,2,11.929651887997489,11.94849961635245,-11.929651887997489
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.18063/ijb.v5i2.2.204,5,19,21.026580015468916,23.380006930825296,20.9619728808535
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.18063/ijb.v6i1.250,5,2,35.337444201927724,35.3379069554587,35.337444201927724
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.3390/ma13194237,5,3,19.475413792277163,19.490893420911938,-19.475413792277163
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.3390/polym12102346,5,2,4.998196326904558,5.089972325626784,-4.998196326904558
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adfm.201700798,5,4,5.757699674516685,7.2714423513842235,-3.998772629533888
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adhm.201500677,5,7,7.634854530265384,8.491063831152786,-2.21174205220643
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adhm.201601451,5,9,4.510346731266468,5.228527219405175,-0.4738408184034827
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adhm.201801631,5,3,4.358289204370921,4.434048203253738,1.139754327535328
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adhm.201901544,5,4,4.061227343125016,5.016409368164803,2.0434021062828878
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adhm.201901792,5,4,6.374645386944322,7.26468543461943,-4.2408233022898525
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adma.201305506,5,10,4.113561624555204,5.233960627068611,0.4732259077046466
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adma.201503310,5,9,17.70594461577482,21.234850669444548,2.9555190483195006
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adma.201604983,5,15,2.667316869915522,3.096070023933172,-0.505290478531822
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/adma.201703443,5,13,1.061572538065128,1.2398497200991077,-0.39937790952911223
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,doi:10.1002/biot.200900004,5,12,5.656902879806218,6.812385198763505,1.1435039398852003
