scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,351,40,12.146085387602522,15.564665612221797,1.3771090287915084,0.0783454425274116,10.905385327898236
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,351,40,12.166902894713175,15.408032031593871,1.6282949240000537,0.09680207627655935,10.614614077948657
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,351,40,12.303806208946142,15.665902692774225,1.7005600593024999,0.06631703634788799,10.973923239843213
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,random_rowwise,1,0.9914529914529915,351,40,7.298000150859324,9.944691199340985,-0.29969449082976446,0.6237546082700061,6.986901139886278
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,random_rowwise,2,0.9971509971509972,351,40,7.571977054048487,10.467133153804317,-0.26596781070112446,0.5831842863962702,7.0773277299409925
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,random_rowwise,3,0.9829059829059829,351,40,7.464954101413207,10.24796457828439,-0.5894670796312439,0.6004567329236934,7.327815466938686
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,random_rowwise,4,0.9857549857549858,351,40,7.373031952809045,10.28764466766103,-0.28219252581763626,0.5973566820642324,6.965013671883755
observed_pressure_only,Rows with observed extrusion pressure only,meta_primary_source_id,prospective_design,random_rowwise,5,0.9914529914529915,351,40,7.160341623155939,9.819181008211363,-0.3066537463500398,0.6331917312222135,6.72874908689406
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,608,75,13.327478602613159,17.396847202670138,0.851107467165296,-0.04842274487637099,12.061430728121707
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,608,75,13.734060443433197,18.02369684869333,1.7625861943139682,-0.12533825921439634,12.351321578378247
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,608,75,12.668716146621614,16.71144537003888,1.0720804516989573,0.03256150743766806,11.419459080996106
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,608,75,13.406381726971762,17.40814744302013,1.9528041965809766,-0.04978520747162851,12.317295316158031
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,608,75,12.992069660857343,17.273814609708705,2.3465829839761003,-0.03364603846043335,11.763951258263452
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,random_rowwise,1,0.9884868421052632,608,75,8.289352239103254,12.101643357336691,-0.31487172854967554,0.4926776029955,8.374860721752453
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,random_rowwise,2,0.9917763157894737,608,75,7.935798723207035,11.893173919313046,-0.24541988462837688,0.5100058718970566,8.055762132343274
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,random_rowwise,3,0.9736842105263158,608,75,8.16300674823753,12.118584926451687,-0.21148446731390425,0.4912561673565716,8.340088786028492
