global_task_number,task_id,dataset,target_key,target_label,unit,feature_set,validation_design,repeat,outer_fold,model_variant,model_display_name,method_key,outer_training_rows,outer_test_rows,outer_training_publications,outer_test_publications,source_overlap_count,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean
7,cell_viability__prospective_design__publication_grouped__r02__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,2,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,14.292093645370464,18.181198506860596,3.81537882810412,-0.1049128374747851,13.54830011378966,0.0,0,0.0980849534249842,-14.007405899754874,0.0,149.461655674431,0.0,0.0,0.0,0.0,0.0
7,cell_viability__prospective_design__publication_grouped__r02__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,2,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,14.283176831422738,18.20203456521454,3.913463781529107,-0.1074467980635258,13.516871411253067,0.0,0,0.0980849534249842,-14.007405899754874,0.0,149.461655674431,0.0,0.0,0.0,0.0,0.0
7,cell_viability__prospective_design__publication_grouped__r02__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,2,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,14.283176831422738,18.20203456521454,3.913463781529107,-0.1074467980635258,13.516871411253067,0.0,0,0.0980849534249842,-14.007405899754874,0.0,149.461655674431,0.0,0.0,0.0,0.0,0.0
8,cell_viability__prospective_design__publication_grouped__r02__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,3,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,10.992388183067694,13.65771752024985,-3.996734626518008,0.0522840662398434,11.053098584574611,0.0,0,0.2336024806416077,-13.558168379889691,0.0,151.29717433439296,0.0,0.0,0.0,0.0,0.0
8,cell_viability__prospective_design__publication_grouped__r02__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,3,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,11.925430351683143,14.969897500173312,-6.076508687708659,-0.1385695995218792,10.948347548746275,0.0,0,0.2336024806416077,-13.558168379889691,0.0,151.29717433439296,0.0,0.0,0.0,0.0,0.0
8,cell_viability__prospective_design__publication_grouped__r02__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,3,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,11.824292394394949,14.87660667889284,-5.84290620706705,-0.1244229264333727,10.889499589447778,0.0,0,0.2336024806416077,-13.558168379889691,0.0,151.29717433439296,0.0,0.0,0.0,0.0,0.0
8,cell_viability__prospective_design__publication_grouped__r02__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,3,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,11.824292394394949,14.87660667889284,-5.84290620706705,-0.1244229264333727,10.889499589447778,0.0,0,0.2336024806416077,-13.558168379889691,0.0,151.29717433439296,0.0,0.0,0.0,0.0,0.0
9,cell_viability__prospective_design__publication_grouped__r02__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,4,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.151860140416634,15.781288561763432,7.73857219553059,-0.1675277417375902,10.618839506855135,0.0,0,0.1905182049773393,-14.778655709009527,0.0,162.94457582466555,0.0,0.0,0.0,0.0,0.0
9,cell_viability__prospective_design__publication_grouped__r02__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,4,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.568994645412218,16.110213884609795,7.577144403061877,-0.2167038975489246,11.37979175030606,0.0,0,0.1905182049773393,-14.778655709009527,0.0,162.94457582466555,0.0,0.0,0.0,0.0,0.0
9,cell_viability__prospective_design__publication_grouped__r02__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,4,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.631459630650694,16.200693086882204,7.767662608039216,-0.2304089341100534,11.410274663102436,0.0,0,0.1905182049773393,-14.778655709009527,0.0,162.94457582466555,0.0,0.0,0.0,0.0,0.0
9,cell_viability__prospective_design__publication_grouped__r02__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,4,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.631459630650694,16.200693086882204,7.767662608039216,-0.2304089341100534,11.410274663102436,0.0,0,0.1905182049773393,-14.778655709009527,0.0,162.94457582466555,0.0,0.0,0.0,0.0,0.0
10,cell_viability__prospective_design__publication_grouped__r02__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,5,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.247023970271394,20.290745130148792,4.259718895656652,-0.1972127205169349,10.881918133971588,0.0,0,0.0605025395555246,-9.626397839425389,0.0,138.6777573753586,0.0,0.0,0.0,0.0,0.0
10,cell_viability__prospective_design__publication_grouped__r02__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,5,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.916866577108609,20.155887423917573,3.0350859410794904,-0.1813516144542613,11.201059923557546,0.0,0,0.0605025395555246,-9.626397839425389,0.0,138.6777573753586,0.0,0.0,0.0,0.0,0.0
10,cell_viability__prospective_design__publication_grouped__r02__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,5,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.9023659684548,20.16508664046204,3.0955884806350187,-0.1824302064380589,11.17440797361416,0.0,0,0.0605025395555246,-9.626397839425389,0.0,138.6777573753586,0.0,0.0,0.0,0.0,0.0
10,cell_viability__prospective_design__publication_grouped__r02__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,5,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.9023659684548,20.16508664046204,3.0955884806350187,-0.1824302064380589,11.17440797361416,0.0,0,0.0605025395555246,-9.626397839425389,0.0,138.6777573753586,0.0,0.0,0.0,0.0,0.0
11,cell_viability__prospective_design__publication_grouped__r03__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,1,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.052538517301622,15.44646185287055,-0.8097507904686395,0.1393874581479978,11.6895236365796,0.0,0,0.3064634667303891,-10.95549816250318,0.0,138.71105775735063,0.0,0.0,0.0,0.0,0.0
11,cell_viability__prospective_design__publication_grouped__r03__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,1,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.22879560754424,15.412627074428716,-1.886328530814659,0.1431535948110743,11.659846848456908,0.0,0,0.3064634667303891,-10.95549816250318,0.0,138.71105775735063,0.0,0.0,0.0,0.0,0.0
11,cell_viability__prospective_design__publication_grouped__r03__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,1,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.118267799870988,15.378127702355762,-1.5798650640842664,0.1469852036273323,11.5143540915243,0.0,0,0.3064634667303891,-10.95549816250318,0.0,138.71105775735063,0.0,0.0,0.0,0.0,0.0
