dataset,target_key,target_label,unit,feature_set,validation_design,repeat,model_variant,model_display_name,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,5,random_intercept_rf_marginal,Marginal random-intercept RF,608,75,7.768679527708628,11.388151975744574,0.1804690041391248,0.5507357673330299,7.828311938077645,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,5,tuned_rf_reference,Tuned Random Forest,608,75,7.381233241858126,11.111966055118543,0.03538249810684446,0.5722626759760898,7.5148331345047215,0.9884868421052632
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,286,54,297.7186454339673,381.13426962958954,-64.45490797492211,0.1462733483061892,278.75216059426066,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,1,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,296.59954210076853,380.050029005843,-61.108381890816396,0.1511237570240731,278.90647074600844,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,1,random_intercept_rf_marginal,Marginal random-intercept RF,286,54,296.59954210076853,380.050029005843,-61.108381890816396,0.1511237570240731,278.90647074600844,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,1,tuned_rf_reference,Tuned Random Forest,286,54,277.642322541336,371.2295476180275,-76.24875908067303,0.19006920556636342,281.3145244264283,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,2,matched_fixed_rf,Matched fixed Random Forest,286,54,284.39850830774697,381.8565917195994,-38.89361073638496,0.14303433246332098,287.4361916758937,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,2,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,283.9994317882564,381.3956699516856,-34.42782196350645,0.14510189263818807,288.12342536452746,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,2,random_intercept_rf_marginal,Marginal random-intercept RF,286,54,283.9994317882564,381.3956699516856,-34.42782196350645,0.14510189263818807,288.12342536452746,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,2,tuned_rf_reference,Tuned Random Forest,286,54,300.0005032315518,391.645652580408,-56.7086926741075,0.09853377554777598,286.8015260733339,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,3,matched_fixed_rf,Matched fixed Random Forest,286,54,294.2948425930562,377.89439216057343,-40.309003859440054,0.16072606869680095,287.4469153954726,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,3,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,294.8027692061929,377.95553033456326,-37.07327583080232,0.1604544805099034,288.4224606993533,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,3,random_intercept_rf_marginal,Marginal random-intercept RF,286,54,294.8027692061929,377.95553033456326,-37.07327583080232,0.1604544805099034,288.4224606993533,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,3,tuned_rf_reference,Tuned Random Forest,286,54,304.8193917587847,384.2521125348216,-28.264470669098696,0.13224851204925991,300.95209365354754,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,4,matched_fixed_rf,Matched fixed Random Forest,286,54,299.2414720176091,383.50824417589905,-44.897113434475514,0.13560499626306588,297.6056063866529,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,4,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,299.581884956332,383.43114914991395,-41.326459320445,0.13595249261055353,298.4312398976467,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,4,random_intercept_rf_marginal,Marginal random-intercept RF,286,54,299.581884956332,383.43114914991395,-41.326459320445,0.13595249261055353,298.4312398976467,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,4,tuned_rf_reference,Tuned Random Forest,286,54,294.13661084185213,376.9279661660284,-37.820755172265656,0.16501329292202005,304.3163610839383,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,5,matched_fixed_rf,Matched fixed Random Forest,286,54,290.49534458252566,377.5632338719411,-35.12311427509564,0.16219637757116045,276.8356695949584,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,5,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,290.51355267834464,377.22257510110444,-31.47967764110025,0.16370752257862697,277.70289894752614,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,5,random_intercept_rf_marginal,Marginal random-intercept RF,286,54,290.51355267834464,377.22257510110444,-31.47967764110025,0.16370752257862697,277.70289894752614,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,5,tuned_rf_reference,Tuned Random Forest,286,54,290.2310388721089,387.6377152592168,-58.22274231160281,0.11688982283137428,284.49409202263354,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,1,matched_fixed_rf,Matched fixed Random Forest,286,54,126.50161539008374,204.85608775274682,9.763031767067531,0.7533616601890486,158.16496545196136,0.9475524475524476
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,1,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,122.64672913662872,199.5011812251101,12.048265313327208,0.7660873105996223,149.50048094433998,0.9475524475524476
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,1,random_intercept_rf_marginal,Marginal random-intercept RF,286,54,127.1739377526319,205.22756561471104,11.999684451107422,0.7524663609103762,159.00921286529513,0.9475524475524476
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,1,tuned_rf_reference,Tuned Random Forest,286,54,115.73534355942266,191.03228801034348,8.288990586294355,0.7855251395290663,144.9103943082157,0.9475524475524476
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,2,matched_fixed_rf,Matched fixed Random Forest,286,54,123.12970163016858,208.93373573366202,-3.3437198182830143,0.7434452981100268,152.3789615458369,0.9615384615384616
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,2,random_intercept_rf_conditional,Conditional random-intercept RF,286,54,116.05163415330544,202.23993319303216,-3.7548995167690182,0.7596209216749551,138.74109510662888,0.9615384615384616
