outcome_key,validation_design,meta_primary_source_id,row_count,positive_count,negative_count,accuracy,mean_absolute_probability_error,brier_score,roc_auc
cell_viability,publication_grouped,doi:10.18063/ijb.v5i2.2.204,19,1,18,0.05263157894736842,0.59002466442288,0.35066879018187613,0.8333333333333334
cell_viability,publication_grouped,doi:10.18063/ijb.v6i1.250,2,0,2,0.0,0.6880798997681806,0.47434122287252156,
cell_viability,publication_grouped,doi:10.3390/ma13194237,3,3,0,1.0,0.3622405508359004,0.1312205941126345,
cell_viability,publication_grouped,doi:10.3390/polym12102346,2,2,0,1.0,0.31400899621069733,0.09860294189083917,
cell_viability,random_rowwise,doi:10.1002/adfm.201700798,4,4,0,1.0,0.2340284869856153,0.05492479412667643,
cell_viability,random_rowwise,doi:10.1002/adhm.201500677,7,6,1,0.8571428571428571,0.3473462646058683,0.17148694308423384,0.0
cell_viability,random_rowwise,doi:10.1002/adhm.201601451,9,6,3,0.7777777777777778,0.3293916861066734,0.127081288822633,1.0
cell_viability,random_rowwise,doi:10.1002/adhm.201801631,3,1,2,0.6666666666666666,0.4813432105422282,0.3081915591480468,0.0
cell_viability,random_rowwise,doi:10.1002/adhm.201901544,4,3,1,0.75,0.49539509361736805,0.28950899351389753,0.0
cell_viability,random_rowwise,doi:10.1002/adhm.201901792,4,4,0,1.0,0.21090348634021086,0.044572294523568916,
cell_viability,random_rowwise,doi:10.1002/adma.201305506,10,3,7,0.6,0.3515641383318693,0.1840306395282651,0.8571428571428572
cell_viability,random_rowwise,doi:10.1002/adma.201503310,9,2,7,0.7777777777777778,0.4022214808069361,0.232663088453352,0.0
cell_viability,random_rowwise,doi:10.1002/adma.201604983,15,15,0,1.0,0.01931404745940303,0.0004097159946488382,
cell_viability,random_rowwise,doi:10.1002/adma.201703443,13,13,0,1.0,0.012659324955133718,0.00017275037554396544,
cell_viability,random_rowwise,doi:10.1002/biot.200900004,12,5,7,0.75,0.392173197604698,0.1732968101001854,0.9142857142857144
