global_task_number,task_id,outcome_key,validation_design,repeat,row_count,source_count,positive_count,negative_count,source_seen_fraction,balanced_accuracy,roc_auc,average_precision,f1,precision,sensitivity,specificity,accuracy,brier_score,log_loss,true_negative,false_positive,false_negative,true_positive
11,step18__filament_diameter__publication_grouped__r01,filament_diameter,publication_grouped,1,286,54,71,215,0.0,0.4930887651490337,0.62630199803472,0.298507347371829,0.0256410256410256,0.1428571428571428,0.0140845070422535,0.972093023255814,0.7342657342657343,0.187337566949957,0.5583465651063555,209,6,70,1
12,step18__filament_diameter__publication_grouped__r02,filament_diameter,publication_grouped,2,286,54,71,215,0.0,0.4930232558139535,0.7103504749426792,0.414122717450357,0.0,0.0,0.0,0.986046511627907,0.7412587412587412,0.1713560145961778,0.5234887047436525,212,3,71,0
13,step18__filament_diameter__publication_grouped__r03,filament_diameter,publication_grouped,3,286,54,71,215,0.0,0.4813953488372093,0.6401244677366525,0.3082124564407568,0.0,0.0,0.0,0.9627906976744186,0.7237762237762237,0.1849732082157225,0.5474861716429635,207,8,71,0
14,step18__filament_diameter__publication_grouped__r04,filament_diameter,publication_grouped,4,286,54,71,215,0.0,0.4792007861120209,0.6592204389125451,0.3457119666225408,0.0454545454545454,0.1176470588235294,0.028169014084507,0.9302325581395348,0.7062937062937062,0.1892208553858065,0.5675120972647653,200,15,69,2
15,step18__filament_diameter__publication_grouped__r05,filament_diameter,publication_grouped,5,286,54,71,215,0.0,0.4837209302325581,0.6901735997379627,0.3944968163020836,0.0,0.0,0.0,0.9674418604651164,0.7272727272727273,0.177923958449911,0.5446885660732199,208,7,71,0
16,step18__filament_diameter__random_rowwise__r01,filament_diameter,random_rowwise,1,286,54,71,215,0.9615384615384616,0.8875859810022928,0.9561742548313136,0.9198690988737164,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.944186046511628,0.916083916083916,0.0616006363129692,0.2091907300117125,203,12,12,59
17,step18__filament_diameter__random_rowwise__r02,filament_diameter,random_rowwise,2,286,54,71,215,0.9755244755244756,0.8804782181460858,0.9612839829675728,0.9316899855895788,0.8321167883211679,0.8636363636363636,0.8028169014084507,0.958139534883721,0.9195804195804196,0.055407137801242,0.1948250689150326,206,9,14,57
18,step18__filament_diameter__random_rowwise__r03,filament_diameter,random_rowwise,3,286,54,71,215,0.9685314685314684,0.8758925646904684,0.96577137242057,0.931534365564216,0.8111888111888111,0.8055555555555556,0.8169014084507042,0.9348837209302324,0.9055944055944056,0.0562291637947754,0.1941391010340824,201,14,13,58
19,step18__filament_diameter__random_rowwise__r04,filament_diameter,random_rowwise,4,286,54,71,215,0.9685314685314684,0.8968883065836881,0.9555846708155912,0.9240962077683436,0.855072463768116,0.8805970149253731,0.8309859154929577,0.9627906976744186,0.93006993006993,0.0585678118889383,0.2059838708523389,207,8,12,59
20,step18__filament_diameter__random_rowwise__r05,filament_diameter,random_rowwise,5,286,54,71,215,0.9755244755244756,0.8828037995414346,0.9596134949230264,0.922936611462881,0.8382352941176471,0.8769230769230769,0.8028169014084507,0.9627906976744186,0.9230769230769232,0.0597165662107673,0.2048037524501738,207,8,14,57
