dataset,target_key,target_family,target_column,target_label,unit,validation_design,repeat,global_mean_mae,global_mean_rmse,global_mean_macro_publication_mae,global_mean_publication_mean_mae,global_mean_r2,source_mean_mae,source_mean_rmse,source_mean_macro_publication_mae,source_mean_publication_mean_mae,source_mean_r2,source_seen_fraction,fallback_fraction,delta_mae_source_minus_global,relative_mae_change_percent,delta_rmse_source_minus_global,delta_macro_publication_mae,delta_publication_mean_mae
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,random_rowwise,1,329.9215416936679,413.4806457678244,351.73090402555135,344.5429736533285,-0.004785157493415904,130.69845879170137,227.04723089373795,168.16862965217763,80.14567666202483,0.697033047492506,0.9475524475524476,0.05244755244755245,-199.22308290196654,-60.38498786082453,-186.43341487408645,-183.56227437337373,-264.3972969913037
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,random_rowwise,2,329.69433598079695,412.71861146325136,351.23102794287746,344.15476765226384,-0.0010849833668051811,124.82351149738582,219.9623969084333,161.64189136973982,72.6350757715212,0.7156457482316474,0.9615384615384616,0.038461538461538464,-204.87082448341113,-62.13962513913003,-192.75621455481806,-189.58913657313764,-271.51969188074264
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,random_rowwise,3,331.7446910933183,415.60164585193206,354.3844246409146,347.5745995953377,-0.015119935783886262,123.58950371810188,226.15690535792064,157.1394240486484,74.35099662183761,0.6994044514155542,0.9475524475524476,0.05244755244755245,-208.15518737521643,-62.74559713049433,-189.44474049401143,-197.24500059226617,-273.2236029735001
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,random_rowwise,4,331.3931947240647,414.47786242475456,352.8019738045029,345.64939950424974,-0.009637606015688194,123.92777045097267,222.51239737089455,161.19370022252284,84.28783371665907,0.7090145557447489,0.9545454545454546,0.045454545454545456,-207.46542427309203,-62.60400864472748,-191.96546505386002,-191.60827358198006,-261.3615657875907
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,random_rowwise,5,331.2209181316596,415.37644269694465,353.0172698513761,346.0665708926036,-0.014020102439893822,121.13770249617319,216.36599591375636,151.35153399426352,58.10515969329257,0.7248681581709745,0.9755244755244755,0.024475524475524476,-210.0832156354864,-63.42691663935875,-199.01044678318829,-201.6657358571126,-287.961411199311
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,leave_one_publication_out,1,0.7692280236902227,1.0906461535525047,0.7883968329544613,0.723186456672662,-0.053045688280462855,0.7692280236902227,1.0906461535525047,0.7883968329544613,0.723186456672662,-0.053045688280462855,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,1,0.787952135616938,1.1043831518660594,0.814065420710467,0.751102773823579,-0.07973956422800454,0.787952135616938,1.1043831518660594,0.814065420710467,0.751102773823579,-0.07973956422800454,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,2,0.7765260140316592,1.095906615891947,0.7938982040672969,0.7284355163425688,-0.06322839765722521,0.7765260140316592,1.095906615891947,0.7938982040672969,0.7284355163425688,-0.06322839765722521,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,3,0.784815525553643,1.1012320678856937,0.7946409021327637,0.7287030890397921,-0.07358681523650756,0.784815525553643,1.1012320678856937,0.7946409021327637,0.7287030890397921,-0.07358681523650756,0.0,1.0,0.0,0.0,0.0,0.0,0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,4,0.7584498868493669,1.0868011285660781,0.7828662335932388,0.7153841677700037,-0.04563384401279125,0.7584498868493669,1.0868011285660781,0.7828662335932388,0.7153841677700037,-0.04563384401279125,0.0,1.0,0.0,0.0,0.0,0.0,0.0
