dataset,dataset_code,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat,outer_fold,outer_split_id,training_rows,test_rows,training_sources,test_sources,overlapping_sources,test_source_seen_fraction,fallback_test_rows,training_global_value,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,566,42,74,1,0,0.0,0,84.17,11.32642857142857,12.5,13.112742167176823,-7.954523809523808,-0.582264712756315,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,566,42,74,1,0,0.0,42,78.77218197879859,15.745986875315499,17.407818021201415,16.93973407321114,-13.352341830725223,-1.6406161529587187,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,590,18,74,1,0,0.0,0,79.4837033898305,14.094197740113003,13.666296610169503,16.332897023615345,-7.121852165725061,-0.234771955990412,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,590,18,74,1,0,0.0,0,84.72,10.761111111111113,9.280000000000001,14.818841610148434,-1.885555555555558,-0.01645655687996128,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,590,18,74,1,0,0.0,18,79.4837033898305,14.094197740113003,13.666296610169503,16.332897023615345,-7.121852165725061,-0.234771955990412,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,604,4,74,1,0,0.0,0,79.62298841059604,10.877011589403963,10.877011589403963,12.188493800139053,-10.877011589403963,-3.911053921191013,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,604,4,74,1,0,0.0,0,84.85,5.650000000000006,5.650000000000006,7.884954026498828,-5.650000000000006,-1.0552892561983493,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,604,4,74,1,0,0.0,4,79.62298841059604,10.877011589403963,10.877011589403963,12.188493800139053,-10.877011589403963,-3.911053921191013,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,607,1,74,1,0,0.0,0,79.66892092257002,15.581079077429976,15.581079077429976,15.581079077429976,-15.581079077429976,,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,607,1,74,1,0,0.0,0,84.9,10.349999999999994,10.349999999999994,10.349999999999994,-10.349999999999994,,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,607,1,74,1,0,0.0,1,79.66892092257002,15.581079077429976,15.581079077429976,15.581079077429976,-15.581079077429976,,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,578,30,74,1,0,0.0,0,80.22281141868513,15.053978662053058,14.25,17.51036619662939,10.706144752018458,-0.5970139396069856,6.837353990496821e-17,0.010800048529522707,0.8664102564965476
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,578,30,74,1,0,0.0,0,85.0,17.416666666666668,18.25,20.77799316584737,15.483333333333333,-1.2486685600772027,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,578,30,74,1,0,0.0,30,80.22281141868513,15.053978662053058,14.25,17.51036619662939,10.706144752018458,-0.5970139396069856,6.837353990496821e-17,0.010800048529522707,0.8664102564965476
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,605,3,74,1,0,0.0,0,79.65104958677685,8.815617079889813,7.9489504132231446,9.449726277594882,-8.815617079889813,-6.7098612863891445,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,605,3,74,1,0,0.0,0,84.9,3.6333333333333306,2.6999999999999886,4.929841106296762,-3.566666666666658,-1.0983307751342992,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,605,3,74,1,0,0.0,3,79.65104958677685,8.815617079889813,7.9489504132231446,9.449726277594882,-8.815617079889813,-6.7098612863891445,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,605,3,74,1,0,0.0,0,79.64911570247934,9.207550964187329,9.23088429752066,9.639637803378779,-9.207550964187329,-10.410477358191153,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,605,3,74,1,0,0.0,0,84.9,3.9566666666666586,3.9799999999999898,4.878404793919144,-3.9566666666666586,-1.9223891634353136,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,605,3,74,1,0,0.0,3,79.64911570247934,9.207550964187329,9.23088429752066,9.639637803378779,-9.207550964187329,-10.410477358191153,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,599,9,74,1,0,0.0,0,79.7734307178631,23.408856427378964,15.226569282136893,30.510116854983586,5.328986273418662,-0.03146710904083494,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,599,9,74,1,0,0.0,0,84.9,21.7,10.099999999999994,31.80861169208392,10.455555555555561,-0.12113283173734635,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,599,9,74,1,0,0.0,9,79.7734307178631,23.408856427378964,15.226569282136893,30.510116854983586,5.328986273418662,-0.03146710904083494,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,604,4,74,1,0,0.0,0,79.61272350993377,12.437276490066228,13.037276490066226,13.022225097515175,-12.437276490066228,-10.386828705076653,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,604,4,74,1,0,0.0,0,84.85,7.200000000000006,7.800000000000004,8.168996266372027,-7.200000000000006,-3.4809467852946163,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,604,4,74,1,0,0.0,4,79.61272350993377,12.437276490066228,13.037276490066226,13.022225097515175,-12.437276490066228,-10.386828705076653,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,604,4,74,1,0,0.0,0,79.6064321192053,13.393567880794706,17.393567880794706,15.358634723745974,-13.393567880794706,-3.175002842078859,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,604,4,74,1,0,0.0,0,84.9,10.549999999999997,12.099999999999994,11.050339361304697,-8.099999999999994,-1.1612389380530956,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,23,CV_leave_one_publication_out_r01_f023,604,4,74,1,0,0.0,4,79.6064321192053,13.393567880794706,17.393567880794706,15.358634723745974,-13.393567880794706,-3.175002842078859,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,600,8,74,1,0,0.0,0,79.64964166666665,7.200089583333337,6.75,8.83897311645436,-3.412858333333343,-0.17520501472903716,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,600,8,74,1,0,0.0,0,85.0,7.1875000000000036,7.200000000000003,8.380557857326686,1.9375000000000036,-0.056466833227176716,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,24,CV_leave_one_publication_out_r01_f024,600,8,74,1,0,0.0,8,79.64964166666665,7.200089583333337,6.75,8.83897311645436,-3.412858333333343,-0.17520501472903716,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,602,6,74,1,0,0.0,0,79.60562292358804,9.011043743078623,8.34437707641196,9.439648557824171,-9.011043743078623,-10.267872901149863,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,602,6,74,1,0,0.0,0,84.8,3.81666666666667,3.1500000000000057,4.740780526453425,-3.81666666666667,-1.84203870877095,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,25,CV_leave_one_publication_out_r01_f025,602,6,74,1,0,0.0,6,79.60562292358804,9.011043743078623,8.34437707641196,9.439648557824171,-9.011043743078623,-10.267872901149863,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,604,4,74,1,0,0.0,0,79.58524006622517,16.614759933774835,16.249759933774833,16.649432352394765,-16.614759933774835,-239.3464669501621,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,604,4,74,1,0,0.0,0,84.85,11.350000000000009,10.985000000000007,11.400695154243895,-11.350000000000009,-111.69419517059016,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,26,CV_leave_one_publication_out_r01_f026,604,4,74,1,0,0.0,4,79.58524006622517,16.614759933774835,16.249759933774833,16.649432352394765,-16.614759933774835,-239.3464669501621,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,602,6,74,1,0,0.0,0,79.7408388704319,12.083333333333336,10.390838870431907,14.792784366317075,4.690838870431901,-0.11179600558043323,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,602,6,74,1,0,0.0,0,85.0,12.583333333333336,10.650000000000006,17.199563947961007,9.950000000000001,-0.5030039756633515,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,27,CV_leave_one_publication_out_r01_f027,602,6,74,1,0,0.0,6,79.7408388704319,12.083333333333336,10.390838870431907,14.792784366317075,4.690838870431901,-0.11179600558043323,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,599,9,74,1,0,0.0,0,79.6751001669449,7.11941105546281,7.775100166944895,7.7451293378631325,-1.3137887219439885,-0.029626013485186675,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,599,9,74,1,0,0.0,0,85.0,6.655555555555556,4.700000000000003,8.622644605919925,4.01111111111111,-0.2761541297778829,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,28,CV_leave_one_publication_out_r01_f028,599,9,74,1,0,0.0,9,79.6751001669449,7.11941105546281,7.775100166944895,7.7451293378631325,-1.3137887219439885,-0.029626013485186675,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,29,CV_leave_one_publication_out_r01_f029,605,3,74,1,0,0.0,0,79.63187603305786,12.70145730027547,12.668123966942133,12.99266099661433,-12.70145730027547,-21.561377457031302,,,
