dataset,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat_count,prediction_rows_per_repeat_minimum,prediction_rows_per_repeat_maximum,mae_mean,mae_sd,median_absolute_error_mean,median_absolute_error_sd,rmse_mean,rmse_sd,bias_mean,bias_sd,r2_mean,r2_sd,pearson_r_mean,pearson_r_sd,calibration_intercept_mean,calibration_intercept_sd,calibration_slope_mean,calibration_slope_sd,macro_publication_mae_mean,macro_publication_mae_sd,macro_publication_rmse_mean,macro_publication_rmse_sd,macro_publication_absolute_bias_mean,macro_publication_absolute_bias_sd,publication_mean_mae_mean,publication_mean_mae_sd,publication_mean_rmse_mean,publication_mean_rmse_sd,publication_mean_r2_mean,publication_mean_r2_sd,publication_mean_pearson_r_mean,publication_mean_pearson_r_sd,source_seen_fraction_mean,source_seen_fraction_sd,fallback_fraction_mean,fallback_fraction_sd
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,publication_grouped,5,286,286,336.07961343071736,5.277803390390426,322.40151217823484,5.019107593393134,421.6233949594645,5.35077783001553,0.044517873575080816,0.03538767199154491,-0.044884279470872326,0.02654360182266342,-0.2717229904894153,0.08858734637044208,3746.872424720596,2.3968933199340716,-4.014446257103643,0.003381925017845151,355.32568814193934,3.5611854144797945,374.2171600231783,3.444639724017184,348.96185103701146,3.597450628238376,348.9618510370115,3.5974506282383425,394.27382374078104,3.724415806097049,-0.0829066169917378,0.020442096465517482,-0.1550103640061284,0.07746982704887191,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,random_rowwise,5,286,286,330.7949363247015,0.9240599319442635,319.4024423270513,4.844907601009151,414.3310416409414,1.230036482221094,0.002636075137955618,0.04272827729675659,-0.008929557019937872,0.005988513140359212,-0.11791973383708858,0.05014939523293396,3742.5635129023576,7.964505832080447,-4.008904644909365,0.010825858067989165,352.63312005304454,1.2270907120189543,372.1185779829375,1.4296272732093924,345.5976622595566,1.353250363209033,345.5976622595566,1.3532503632090427,390.17500547416756,1.4272588307533907,-0.06044379668027111,0.007762561238706071,-0.20091966740813513,0.10616601167564858,0.9573426573426573,0.011701538832644388,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,leave_one_publication_out,1,286,286,349.1089891608392,,318.1397999999999,,430.6099579993539,,-52.443487762237766,,-0.08976028617170262,,-0.5348490065396457,,6475.46125230633,,-8.245257646755137,,350.1796716049383,,369.23917121632985,,342.28831975308645,,342.28831975308645,,391.9580124232993,,-0.07014643771062201,,-0.6503721264032267,,0.0,,0.0,
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,publication_grouped,5,286,286,345.3778320979021,8.709822959081546,308.4724,12.16108781832445,427.0956051067129,8.08229986406899,-35.31860314685313,7.387290833707235,-0.07235220121507538,0.04051152070443818,-0.17296305413986265,0.08651593470117594,1686.0084460623882,299.234835138269,-1.3199394723168196,0.42499668248918154,349.5054506255144,5.422025449366311,369.11463611550914,5.5588204028348915,342.19066222222216,5.646036518303414,342.19066222222216,5.646036518303414,392.07475838462113,6.094796359829782,-0.07099102683168619,0.03327592946838598,-0.10878620754961472,0.08703419988502291,0.0,0.0,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_median,Global training median,random_rowwise,5,286,286,330.76520202797207,1.7192567477072207,302.96902,3.9528368676179797,417.53419746779457,1.7369831570531125,-43.07237447552447,3.1990674741593628,-0.024596705545464514,0.008519091980606292,-0.09724509790012223,0.04994069275706582,2134.3887101772357,487.3796584032326,-1.9705037877066143,0.695541615715389,341.50302664122705,2.6537271069624135,361.5141939766012,2.750178197430093,333.67145880995133,2.968838873565485,333.67145880995133,2.9688388735655105,384.0472259870388,2.399929132963223,-0.02741747691188312,0.012834631538724309,-0.18043117247563728,0.08877488562289393,0.9573426573426573,0.011701538832644388,0.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,286,286,338.83109688192036,,319.7988295373666,,422.43939895211724,,-3.1407498414882484,,-0.048797567555594945,,-0.8013120750055488,,20716.51299185689,,-26.839086585719524,,357.1348389067964,,376.04117786255404,,350.2517366446578,,350.2517366446578,,395.3858120012437,,-0.08894583660606825,,-0.8011032761027402,,0.0,,1.0,
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,5,286,286,336.07961343071736,5.277803390390426,322.40151217823484,5.019107593393134,421.6233949594645,5.35077783001553,0.044517873575080816,0.03538767199154491,-0.044884279470872326,0.02654360182266342,-0.2717229904894153,0.08858734637044208,3746.872424720596,2.3968933199340716,-4.014446257103643,0.003381925017845151,355.32568814193934,3.5611854144797945,374.2171600231783,3.444639724017184,348.96185103701146,3.597450628238376,348.9618510370115,3.5974506282383425,394.27382374078104,3.724415806097049,-0.0829066169917378,0.020442096465517482,-0.1550103640061284,0.07746982704887191,0.0,0.0,1.0,0.0
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,5,286,286,124.835389390867,3.550514593132962,54.289023931623866,1.5850090280518274,222.4089852889486,4.417986998758658,7.175723571010278,4.88719733872049,0.7091931922110862,0.011522375123733912,0.8437005104380468,0.006784959159419275,31.780359135962424,12.611224377541044,0.948333525079445,0.013485430663042393,159.89903585747044,6.200304994940969,174.54469874368198,6.319975632437791,73.90494849306705,9.977422706098665,73.90494849306705,9.977422706098675,178.8985023062987,15.72891545690656,0.7756867323879607,0.038601414295163235,0.8823290608726051,0.02137061390117546,0.9573426573426573,0.011701538832644388,0.04265734265734265,0.011701538832644413
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,global_training_mean,Global training mean,leave_one_publication_out,1,286,286,0.7692280236902227,,0.7111169408327619,,1.0906461535525047,,0.008662002187197527,,-0.053045688280462855,,-0.7002550203005674,,35.23280329543789,,-18.99846161289183,,0.7883968329544613,,0.820776019968389,,0.723186456672662,,0.723186456672662,,1.1224051728224225,,-0.03291597622842901,,-0.7141788125529441,,0.0,,0.0,
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,global_training_mean,Global training mean,publication_grouped,5,286,286,0.7718364381600196,0.016166593029546237,0.7014445095854673,0.057194514644871956,1.0949578667295594,0.008181375629210126,0.0004029519209260674,9.553684045854488e-05,-0.06143568139859497,0.015859236714360212,-0.3280601809187719,0.0435466542918359,8.761465246946399,0.019576116594888514,-3.9955073665653984,0.011351770601770365,0.7923498424786487,0.014382638395399503,0.8245076533006545,0.01351745131264057,0.7258888335590907,0.01705366422153881,0.7258888335590905,0.01705366422153876,1.1246406498424109,0.007100839282157417,-0.03706763225945751,0.013127392569068792,-0.1849927217310491,0.07679552380191927,0.0,0.0,0.0,0.0
