dataset,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat,prediction_rows,publication_count,source_seen_fraction,fallback_fraction,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,publication_grouped,3,608,75,0.0,0.0,13.055370065789473,10.39,17.90348011896195,5.11907072368421,-0.11037647665419814,-0.19240922630589974,438.02752537096507,-4.224946233217791,11.276831488355699,13.096218229033171,9.357466601390813,9.357466601390813,11.994137712129213,-0.07134239754602367,-0.1498751361537242
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,publication_grouped,4,608,75,0.0,0.0,13.246899671052631,10.417500000000004,18.014673849109858,5.148495065789473,-0.12421181050560759,-0.20752657531086294,341.84501601842067,-3.0898286975969684,11.45937752972174,13.238372637139248,9.543399934724144,9.543399934724144,12.150419696556911,-0.09944317892507093,-0.21131381270461366
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,publication_grouped,5,608,75,0.0,0.0,13.141175986842107,10.149999999999999,17.95357329670241,5.096768092105265,-0.1165987418486909,-0.21029869302491513,398.95810975790755,-3.7652860919534694,11.386331238235448,13.170754775854236,9.439199934724144,9.439199934724144,12.076907919011639,-0.08617984613398533,-0.20428013473057896
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,random_rowwise,1,608,75,0.9884868421052632,0.0,12.870995065789474,10.100000000000001,17.76211322336223,5.159465460526315,-0.09291051467148903,-0.04418175403378021,595.6629771376734,-6.08066030395288,11.139396389964814,12.976114042068456,9.191047972456396,9.191047972456396,11.874744645431104,-0.05011965910100824,-0.1237922982607243
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,random_rowwise,2,608,75,0.9917763157894737,0.0,12.876027960526315,10.099999999999994,17.75668416700899,5.154958881578946,-0.09224251240120473,-0.0032208380560794143,104.86211099854197,-0.29661413856021274,11.148402310087572,12.980084410400021,9.194961934907198,9.194961934907196,11.868749776928649,-0.04905963795813362,-0.028905315364305406
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,random_rowwise,3,608,75,0.9736842105263158,0.0,12.890962171052632,10.0,17.777459219222482,5.126175986842107,-0.09479982200993353,-0.09353862627672581,511.9932958762797,-5.096617069530913,11.186798204641361,13.020792892446549,9.223023486026644,9.22302348602664,11.901822883857523,-0.0549143409699786,-0.2483634490825243
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,random_rowwise,4,608,75,0.9884868421052632,0.0,12.89814967105263,10.049999999999997,17.765575980698934,5.11030427631579,-0.09333668612435186,-0.07297024220641546,432.22195434358844,-4.156924968816804,11.174407170120327,12.99841283432832,9.210299796382953,9.210299796382953,11.876542608025716,-0.050437681738242146,-0.1299338791900822
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,random_rowwise,5,608,75,0.9884868421052632,0.0,12.886800986842104,10.150000000000006,17.77500235606802,5.142014802631578,-0.094497237996513,-0.0875936383717398,566.9619020763205,-5.743600872312006,11.148310042511097,12.996095793750685,9.199587079548134,9.199587079548133,11.877610929823748,-0.050626668715744394,-0.12563594396449015
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,608,75,0.0,1.0,13.687738220541974,12.240934256055368,17.22525447680576,0.024181970759952032,-0.027842637476318766,-0.5886441261257301,2103.1290763162656,-25.382172257918803,12.590561964402315,14.025441197996997,9.945139152083145,9.945139152083145,12.047360492239962,-0.08087144116389267,-0.7420360154551352
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,1,608,75,0.0,1.0,13.584502843783511,12.101211498973328,17.079097831174543,-0.0013076006741726293,-0.01047410491681644,-0.13628222633015352,397.7313964223818,-3.990763185674597,12.58643229931475,14.014518208710085,9.922607598509313,9.922607598509313,12.012745654073697,-0.07466917963930375,-0.21120594697910572
