dataset,target_family,target_key,feature_set,validation_design,model_key,model_display_name,outer_split_count,unique_selected_candidates,dominant_candidate_id,dominant_parameters_json,dominant_selection_count,dominant_selection_fraction,selection_entropy,candidate_space_size,normalized_selection_entropy
cell_viability,raw_outcome,cell_viability,prospective_design,random_rowwise,elastic_net,Elastic Net,25,6,elastic_net_07,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",10,0.4,1.5102499224053305,9,0.6873443606917345
cell_viability,raw_outcome,cell_viability,prospective_design,random_rowwise,random_forest,Random Forest,25,3,random_forest_05,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",17,0.68,0.806816703850445,6,0.45029297609798397
cell_viability,raw_outcome,cell_viability,prospective_design,random_rowwise,rbf_svr,RBF-SVR,25,2,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",19,0.76,0.5510799280869728,12,0.22177087744281587
cell_viability,raw_outcome,cell_viability,prospective_design,random_rowwise,ridge,Ridge regression,25,4,ridge_03,"{""alpha"": 1.0}",10,0.4,1.2992658888081015,5,0.8072792859981176
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,leave_one_publication_out,elastic_net,Elastic Net,54,1,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",54,1.0,-0.0,9,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,leave_one_publication_out,random_forest,Random Forest,54,3,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",50,0.9259259259259259,0.30570650698257745,6,0.17061805015283954
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,leave_one_publication_out,rbf_svr,RBF-SVR,54,5,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",19,0.35185185185185186,1.2372843194748948,12,0.4979198391941418
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,leave_one_publication_out,ridge,Ridge regression,54,1,ridge_01,"{""alpha"": 100.0}",54,1.0,-0.0,5,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,publication_grouped,elastic_net,Elastic Net,25,2,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",24,0.96,0.167944147734173,9,0.07643467557502846
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,publication_grouped,random_forest,Random Forest,25,3,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",20,0.8,0.6004829082458254,6,0.3351358921543927
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,publication_grouped,rbf_svr,RBF-SVR,25,4,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",11,0.44,1.1889247904866969,12,0.478458533075329
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,publication_grouped,ridge,Ridge regression,25,1,ridge_01,"{""alpha"": 100.0}",25,1.0,-0.0,5,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,random_rowwise,elastic_net,Elastic Net,25,5,elastic_net_06,"{""alpha"": 0.1, ""l1_ratio"": 0.1}",11,0.44,1.380139059802829,9,0.6281283552162087
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,random_rowwise,random_forest,Random Forest,25,3,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",23,0.92,0.33422114621338295,6,0.18653237331982717
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,random_rowwise,rbf_svr,RBF-SVR,25,1,rbf_svr_07,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",25,1.0,-0.0,12,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,core_physics,random_rowwise,ridge,Ridge regression,25,4,ridge_02,"{""alpha"": 10.0}",14,0.56,1.123696198583954,5,0.6981917040120457
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,leave_one_publication_out,elastic_net,Elastic Net,54,1,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",54,1.0,-0.0,9,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,leave_one_publication_out,random_forest,Random Forest,54,4,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",40,0.7407407407407407,0.7423484812594703,6,0.4143125759950898
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,leave_one_publication_out,rbf_svr,RBF-SVR,54,4,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",19,0.35185185185185186,1.2794892545035834,12,0.5149043545006984
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,leave_one_publication_out,ridge,Ridge regression,54,3,ridge_01,"{""alpha"": 100.0}",46,0.8518518518518519,0.475301170973801,5,0.2953212219631135
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,publication_grouped,elastic_net,Elastic Net,25,2,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",24,0.96,0.167944147734173,9,0.07643467557502846
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,publication_grouped,random_forest,Random Forest,25,4,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",13,0.52,1.1778210141494905,6,0.6573544241721976
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,publication_grouped,rbf_svr,RBF-SVR,25,4,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",12,0.48,1.0496348213275466,12,0.4224041258922528
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,publication_grouped,ridge,Ridge regression,25,3,ridge_01,"{""alpha"": 100.0}",22,0.88,0.44330669146808716,5,0.275441934133162
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,random_rowwise,elastic_net,Elastic Net,25,4,elastic_net_07,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",11,0.44,1.2653064906820743,9,0.5758658007621844
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,random_rowwise,random_forest,Random Forest,25,3,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",22,0.88,0.4433066914680872,6,0.24741417532961463
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,random_rowwise,rbf_svr,RBF-SVR,25,3,rbf_svr_07,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",15,0.6,0.9173573878312139,12,0.36917177066167783
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,full_retrospective,random_rowwise,ridge,Ridge regression,25,5,ridge_03,"{""alpha"": 1.0}",10,0.4,1.3551616221090568,5,0.8420092577908282
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,leave_one_publication_out,elastic_net,Elastic Net,54,1,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",54,1.0,-0.0,9,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,leave_one_publication_out,random_forest,Random Forest,54,3,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",49,0.9074074074074074,0.3548290085661212,6,0.1980338402893958
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,leave_one_publication_out,rbf_svr,RBF-SVR,54,4,rbf_svr_01,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",18,0.3333333333333333,1.3673773597611443,12,0.5502731299293686
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,leave_one_publication_out,ridge,Ridge regression,54,2,ridge_01,"{""alpha"": 100.0}",51,0.9444444444444444,0.2145591551764051,5,0.13331309864069726
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,publication_grouped,elastic_net,Elastic Net,25,2,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",24,0.96,0.167944147734173,9,0.07643467557502846
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,publication_grouped,random_forest,Random Forest,25,3,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",15,0.6,0.9422163338129591,6,0.5258609484111697
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,publication_grouped,rbf_svr,RBF-SVR,25,4,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",8,0.32,1.3443385579271032,12,0.5410016340218637
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,publication_grouped,ridge,Ridge regression,25,2,ridge_01,"{""alpha"": 100.0}",24,0.96,0.167944147734173,5,0.10434956604208216
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,random_rowwise,elastic_net,Elastic Net,25,5,elastic_net_09,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",10,0.4,1.3896834708032708,9,0.6324722038600341
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,random_rowwise,random_forest,Random Forest,25,2,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",23,0.92,0.2787693717685874,6,0.1555841487410639
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,random_rowwise,rbf_svr,RBF-SVR,25,3,rbf_svr_07,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",17,0.68,0.7474359091744861,12,0.3007903372298728
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,prospective_design,random_rowwise,ridge,Ridge regression,25,5,ridge_03,"{""alpha"": 1.0}",14,0.56,1.231830888711867,5,0.7653795646262964
filament_diameter,raw_outcome,filament_diameter,core_physics,leave_one_publication_out,elastic_net,Elastic Net,54,3,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",50,0.9259259259259259,0.30570650698257745,9,0.13913302724530657
filament_diameter,raw_outcome,filament_diameter,core_physics,leave_one_publication_out,random_forest,Random Forest,54,6,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",25,0.46296296296296297,1.317846338541682,6,0.7355040457017653
filament_diameter,raw_outcome,filament_diameter,core_physics,leave_one_publication_out,rbf_svr,RBF-SVR,54,4,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",24,0.4444444444444444,1.066333253638135,12,0.42912406940079983
filament_diameter,raw_outcome,filament_diameter,core_physics,leave_one_publication_out,ridge,Ridge regression,54,2,ridge_01,"{""alpha"": 100.0}",53,0.9814814814814815,0.0922160573371918,5,0.057297057950949484
filament_diameter,raw_outcome,filament_diameter,core_physics,publication_grouped,elastic_net,Elastic Net,25,5,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",21,0.84,0.6614769771805253,9,0.3010511460701297
filament_diameter,raw_outcome,filament_diameter,core_physics,publication_grouped,random_forest,Random Forest,25,6,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",11,0.44,1.5437255243755377,6,0.8615696196323841
filament_diameter,raw_outcome,filament_diameter,core_physics,publication_grouped,rbf_svr,RBF-SVR,25,4,rbf_svr_11,"{""C"": 100.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",9,0.36,1.3211643880367676,12,0.5316756620010183
filament_diameter,raw_outcome,filament_diameter,core_physics,publication_grouped,ridge,Ridge regression,25,4,ridge_01,"{""alpha"": 100.0}",22,0.88,0.49875846591288275,5,0.3098960587790334
