global_task_number,task_id,dataset,target_key,validation_design,repeat,outer_fold,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,effective_group_size,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean,training_group_count,training_observation_count,task_elapsed_seconds
43,cell_viability__prospective_design__random_rowwise__r04__f03,cell_viability,cell_viability,random_rowwise,4,3,0,0.2804012494803163,-16.55003725860108,0.0,172.92766823267908,0.0,6.499295337955917,0.0,0.0,0.0,0.0,74,486,2.9699324970060843
44,cell_viability__prospective_design__random_rowwise__r04__f04,cell_viability,cell_viability,random_rowwise,4,4,0,0.198669607567243,-17.95088565916513,0.0,174.3338949828183,0.0,6.500914179629265,0.0,0.0,0.0,0.0,74,487,1.9417246590019204
45,cell_viability__prospective_design__random_rowwise__r04__f05,cell_viability,cell_viability,random_rowwise,4,5,0,0.15276248262532371,-17.017525161817375,0.0,157.98283823151286,0.0,6.512221878428174,0.0,0.0,0.0,0.0,74,487,1.9643348940007854
46,cell_viability__prospective_design__random_rowwise__r05__f01,cell_viability,cell_viability,random_rowwise,5,1,0,0.24090877683658607,-17.75666694086905,0.0,167.72814052355855,0.0,6.496645808670162,0.0,0.0,0.0,0.0,74,486,1.9807064929991611
47,cell_viability__prospective_design__random_rowwise__r05__f02,cell_viability,cell_viability,random_rowwise,5,2,0,0.12901025810556807,-18.42140417727238,0.0,171.73885204960226,0.0,6.590706447187929,0.0,0.0,0.0,0.0,73,486,1.9838710770054604
48,cell_viability__prospective_design__random_rowwise__r05__f03,cell_viability,cell_viability,random_rowwise,5,3,0,0.2948533698377554,-13.167487123947213,0.0,149.1297785361426,0.0,6.3978422867311755,0.0,0.0,0.0,0.0,75,486,3.113600172000588
49,cell_viability__prospective_design__random_rowwise__r05__f04,cell_viability,cell_viability,random_rowwise,5,4,0,0.3380490131647931,-18.025468350241997,0.0,168.92270628015774,0.0,6.428325656251734,0.0,0.0,0.0,0.0,75,487,4.0056792219984345
50,cell_viability__prospective_design__random_rowwise__r05__f05,cell_viability,cell_viability,random_rowwise,5,5,0,0.3026991815480794,-16.109835021188644,0.0,160.31821168180963,0.0,6.501926809372451,0.0,0.0,0.0,0.0,74,487,1.9670923270023195
51,filament_diameter__prospective_design__publication_grouped__r01__f01,filament_diameter,filament_diameter,publication_grouped,1,1,0,5.792681027124184,4202.9324166505985,4202.9324166505985,29488.354866577523,0.12474834758667303,5.20253690996049,0.12474834758667303,0.3673100789590613,0.8104573146453905,-3.335517209354182e-16,43,229,1.3670597029995406
52,filament_diameter__prospective_design__publication_grouped__r01__f02,filament_diameter,filament_diameter,publication_grouped,1,2,0,2.1249535568873363,6092.498067693108,6092.498067693108,21133.422263424323,0.22377565179053965,5.20295279683926,0.22377565179053965,0.517910746762646,0.8963582375025524,3.72336804765118e-16,43,229,1.4385517519986024
53,filament_diameter__prospective_design__publication_grouped__r01__f03,filament_diameter,filament_diameter,publication_grouped,1,3,0,5.657804859600289,1738.2889239604986,1738.2889239604986,37467.03820025944,0.044338079834223165,5.094546562404793,0.044338079834223165,0.17465987479384326,0.5819143774407883,4.460284640415476e-17,44,229,2.3693885509928805
54,filament_diameter__prospective_design__publication_grouped__r01__f04,filament_diameter,filament_diameter,publication_grouped,1,4,0,5.886803870895173,4482.344324283802,4482.344324283802,28280.412751504744,0.13681218323338923,5.327723932261157,0.13681218323338923,0.39614371961323497,0.8262348157645008,3.8785083829699793e-16,42,229,2.399595702001534
55,filament_diameter__prospective_design__publication_grouped__r01__f05,filament_diameter,filament_diameter,publication_grouped,1,5,0,-2.6248518771149443,-1503.8353497271335,0.0,35632.74978707269,0.0,5.1170950632394945,0.0,0.0,0.0,0.0,44,228,2.3080847919991356
56,filament_diameter__prospective_design__publication_grouped__r02__f01,filament_diameter,filament_diameter,publication_grouped,2,1,0,6.980185105451111,3609.654061529667,3609.654061529667,24519.52146684274,0.12832420409509696,5.327723932261157,0.12832420409509696,0.3807230428640538,0.8153777604821579,-9.696270957424947e-18,42,229,1.7146510609964025
57,filament_diameter__prospective_design__publication_grouped__r02__f02,filament_diameter,filament_diameter,publication_grouped,2,2,0,5.228811062017979,4716.597151789477,4716.597151789477,31512.90351523092,0.1301866452739433,5.20253690996049,0.1301866452739433,0.37731420989732384,0.8178558782221443,-4.654210059563975e-17,43,229,1.5026576310046948
58,filament_diameter__prospective_design__publication_grouped__r02__f03,filament_diameter,filament_diameter,publication_grouped,2,3,0,1.9265644136285154,7157.3546111663845,7157.3546111663845,21178.038503466283,0.25259415255722206,5.20295279683926,0.25259415255722206,0.5524179489242584,0.9102240046985557,1.5514033531879916e-16,43,229,1.43611938200047
59,filament_diameter__prospective_design__publication_grouped__r02__f04,filament_diameter,filament_diameter,publication_grouped,2,4,0,1.5976005899946835,3522.4190290911233,3522.4190290911233,35998.16510538548,0.0891287187736243,5.1170950632394945,0.0891287187736243,0.30194618288486264,0.6378516429543322,-9.660888073931187e-16,44,228,1.4640523190028034
60,filament_diameter__prospective_design__publication_grouped__r02__f05,filament_diameter,filament_diameter,publication_grouped,2,5,0,6.646101784227966,-1310.0088558373352,0.0,36313.47784420093,0.0,5.094546562404793,0.0,0.0,0.0,0.0,44,229,1.4181093119987054
61,filament_diameter__prospective_design__publication_grouped__r03__f01,filament_diameter,filament_diameter,publication_grouped,3,1,0,2.1469283986039582,-753.5626885949325,0.0,37248.7930938956,0.0,5.094546562404793,0.0,0.0,0.0,0.0,44,229,1.4046728149987757
62,filament_diameter__prospective_design__publication_grouped__r03__f02,filament_diameter,filament_diameter,publication_grouped,3,2,0,2.5711568086097936,2484.9302277712145,2484.9302277712145,33175.08642643267,0.06968393346160347,5.20253690996049,0.06968393346160347,0.24760065253670083,0.6920333772522078,-5.740192406795569e-16,43,229,2.3902077750026365
63,filament_diameter__prospective_design__publication_grouped__r03__f03,filament_diameter,filament_diameter,publication_grouped,3,3,0,4.031289564980797,6186.397885774052,6186.397885774052,25688.20863512925,0.19408546680308117,5.327723932261157,0.19408546680308117,0.48642067796907973,0.8784163622672768,-2.109908560335669e-15,42,229,2.422677360002126
64,filament_diameter__prospective_design__publication_grouped__r03__f04,filament_diameter,filament_diameter,publication_grouped,3,4,0,5.984258079011058,3163.105331015259,3163.105331015259,33751.55434092579,0.08568696986849227,5.1170950632394945,0.08568696986849227,0.293806117247935,0.627825523492269,-6.310741403132469e-16,44,228,1.611897497998143
65,filament_diameter__prospective_design__publication_grouped__r03__f05,filament_diameter,filament_diameter,publication_grouped,3,5,0,1.3967874665379316,6884.537121490183,6884.537121490183,19879.538862271984,0.2572305177158759,5.20295279683926,0.2572305177158759,0.5576858105223196,0.9121989198089591,9.61870078976555e-16,43,229,1.4398407249973388
66,filament_diameter__prospective_design__publication_grouped__r04__f01,filament_diameter,filament_diameter,publication_grouped,4,1,0,5.36623952090748,3197.0743246604156,3197.0743246604156,34307.14788559374,0.08524571731516385,5.20253690996049,0.08524571731516385,0.28544934962368024,0.7365434506661295,-1.512618269358292e-16,43,229,1.4125988899977528
67,filament_diameter__prospective_design__publication_grouped__r04__f02,filament_diameter,filament_diameter,publication_grouped,4,2,0,2.1297476289165855,-1617.5893117058895,0.0,32330.543361815675,0.0,5.20295279683926,0.0,0.0,0.0,0.0,43,229,1.4970629289964563
68,filament_diameter__prospective_design__publication_grouped__r04__f03,filament_diameter,filament_diameter,publication_grouped,4,3,0,6.452849966412588,4492.160941959917,4492.160941959917,30385.613506500787,0.12879723586142333,5.327723932261157,0.12879723586142333,0.3815991198064969,0.8160125205739202,-3.6845829638214804e-16,42,229,1.4164952589999302
69,filament_diameter__prospective_design__publication_grouped__r04__f04,filament_diameter,filament_diameter,publication_grouped,4,4,0,0.7555036045242844,5704.22600436436,5704.22600436436,18739.931830462836,0.23335743628022135,5.094546562404793,0.23335743628022135,0.5296508816311648,0.9012995398884174,2.109908560335669e-15,44,229,1.4370701689986163
70,filament_diameter__prospective_design__publication_grouped__r04__f05,filament_diameter,filament_diameter,publication_grouped,4,5,0,3.156200957402671,3877.0704562624364,3877.0704562624364,35410.15676929179,0.0986852656718062,5.1170950632394945,0.0986852656718062,0.32367542449445286,0.6633933123805507,-1.0595812726247107e-15,44,228,2.286969335997128
71,filament_diameter__prospective_design__publication_grouped__r05__f01,filament_diameter,filament_diameter,publication_grouped,5,1,0,2.0620567900322104,5249.089540878115,5249.089540878115,35046.57156306782,0.13026438571978413,5.327723932261157,0.13026438571978413,0.3843035580581252,0.8179580995403389,-6.205613412751966e-16,42,229,2.273082132000127
72,filament_diameter__prospective_design__publication_grouped__r05__f02,filament_diameter,filament_diameter,publication_grouped,5,2,0,4.133260834710889,5113.602758445055,5113.602758445055,32532.677513042254,0.1358328823344073,5.1170950632394945,0.1358328823344073,0.3979730326502471,0.7388559698256043,-4.7525336492726e-16,44,228,1.547537573002046
73,filament_diameter__prospective_design__publication_grouped__r05__f03,filament_diameter,filament_diameter,publication_grouped,5,3,0,1.3727134290093703,-414.27232157216645,0.0,21535.358893622437,0.0,5.094546562404793,0.0,0.0,0.0,0.0,44,229,1.4866859810063033
74,filament_diameter__prospective_design__publication_grouped__r05__f04,filament_diameter,filament_diameter,publication_grouped,5,4,0,4.497797065075455,4183.547029853627,4183.547029853627,31406.03679569371,0.1175497597937783,5.20295279683926,0.1175497597937783,0.3537926605936,0.7998499337829491,-2.1719646944631882e-16,43,229,1.3670458729975508
75,filament_diameter__prospective_design__publication_grouped__r05__f05,filament_diameter,filament_diameter,publication_grouped,5,5,0,6.142761644118867,3287.9398482032184,3287.9398482032184,29926.784535949653,0.09899042997243514,5.20253690996049,0.09899042997243514,0.31598015675006136,0.7672244452561741,-3.4130873770135817e-16,43,229,1.483625036002195
76,filament_diameter__prospective_design__random_rowwise__r01__f01,filament_diameter,filament_diameter,random_rowwise,1,1,0,4.957163451266359,3835.8261370614036,3835.8261370614036,39850.37732570425,0.08780406245030495,4.394912280701755,0.08780406245030495,0.26466142364314105,0.7064343089453695,-6.232831015439475e-17,51,228,1.5279817589980667
