dataset,target_family,target_key,target_label,unit,validation_design,model_key,model_display_name,macro_publication_mae_mean__core_physics,macro_publication_mae_mean__full_retrospective,macro_publication_mae_mean__prospective_design,mae_mean__core_physics,mae_mean__full_retrospective,mae_mean__prospective_design,prospective_minus_core_macro_mae,full_minus_core_macro_mae,prospective_improvement_percent_vs_core,full_improvement_percent_vs_core
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,leave_one_publication_out,random_forest,Random Forest,0.8679200311767852,0.8167550509020203,0.8756704513067198,0.7928732120901791,0.8035381295969636,0.8041072692657643,0.007750420129934654,-0.051164980274764904,-0.8929878158735554,5.895126098817184
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,leave_one_publication_out,rbf_svr,RBF-SVR,0.842784275144263,0.7765256170491409,0.82020051846665,0.7996301842425831,0.7665641023210941,0.8060676045356002,-0.02258375667761303,-0.0662586580951221,2.679660423629436,7.861876407670317
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,leave_one_publication_out,ridge,Ridge regression,1.02809835892249,1.362426110015392,1.3958532635889058,0.953587538610158,1.3298691943331393,1.1680994876459014,0.3677549046664159,0.33432775109290214,-35.77040090326042,-32.51904335722295
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,elastic_net,Elastic Net,0.8144162843034997,0.8144162843034997,0.8144162843034997,0.7859051479062368,0.7859051479062368,0.7859051479062368,0.0,0.0,-0.0,-0.0
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,random_forest,Random Forest,0.8766473006139318,0.8219993329797104,0.87374606267456,0.79974498021428,0.7788366127158743,0.8127270294818436,-0.0029012379393718035,-0.05464796763422142,0.3309469997044438,6.233746182295943
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,rbf_svr,RBF-SVR,0.8456423820234488,0.7855763247064532,0.8276838731240739,0.8230317985735534,0.7748096957821025,0.8119280109195393,-0.017958508899374892,-0.06006605731699555,2.1236528917110165,7.103009332771354
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,publication_grouped,ridge,Ridge regression,1.1355675246705135,2.161029191486836,1.5782006140919882,1.0331598288961221,2.3446664122036114,1.2991133297938426,0.4426330894214747,1.0254616668163223,-38.979019724071925,-90.30389162580724
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,random_rowwise,elastic_net,Elastic Net,0.8557939731887092,0.700895907706464,0.8397730575020258,0.7202621952501265,0.5093312772593686,0.581330664520372,-0.0160209156866834,-0.15489806548224516,1.8720528758795858,18.099924787398443
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,random_rowwise,random_forest,Random Forest,0.5087604365262948,0.40583310676831574,0.4591232210599438,0.32785236460331824,0.28822725414739225,0.3015582456727359,-0.04963721546635097,-0.10292732975797902,9.756500683359548,20.231001148741903
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,random_rowwise,rbf_svr,RBF-SVR,0.47552718597664717,0.3929522554449737,0.41143959055560775,0.3320459396125666,0.3026190213797185,0.30878270621250514,-0.06408759542103942,-0.08257493053167347,13.477167512392597,17.36492317722686
