original_feature,publication_count,macro_publication_mean_absolute_shap,importance_bootstrap_ci_lower,importance_bootstrap_ci_upper,importance_rank,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,bootstrap_top_3_frequency,bootstrap_top_5_frequency,bootstrap_top_10_frequency,dataset,target_key,target_label,unit,feature_set,model_variant,model_display_name,task_count,task_feature_count,task_importance_mean,task_importance_sd,task_rank_mean,task_rank_median,task_rank_q1,task_rank_q3,task_top_3_frequency,task_top_5_frequency,task_top_10_frequency,rank_stability_category
final_alginate_conc_pctw_or_v,75,0.6507832038788622,0.5753724809399163,0.7300327331286425,7.0,7.0,5.0,9.0,0.0005,0.0446,0.9995,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.6526793273634643,0.15559180607280257,7.64,6.0,5.0,9.0,0.0,0.32,0.84,Low rank stability
final_chitosan_conc_pctw_or_v,75,0.0048781769428703214,0.004350502926573682,0.005447894949264027,39.0,39.0,39.0,40.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.004913363944083576,0.003517227076061777,39.18,39.0,38.0,41.0,0.0,0.0,0.0,Low rank stability
final_collagen_conc_pctw_or_v,75,0.06106397795846783,0.05347209631909572,0.07035591238177967,31.0,30.0,28.0,31.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.06116597621332571,0.025724387951796938,29.32,29.0,28.0,31.0,0.0,0.0,0.0,Low rank stability
final_cs_aema_conc_pctw_or_v,75,0.007343014890189682,0.006459742416898282,0.008257858955025793,37.0,37.0,37.0,38.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0072488588462808,0.005165793210984451,38.02,37.0,36.0,40.0,0.0,0.0,0.0,Low rank stability
final_fibroin_or_fibrinogen_concentration_pct_wv,75,0.06877250378003387,0.053219128902460035,0.08679679497416011,29.0,29.0,27.0,31.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0690057732155197,0.032934597174207304,28.48,30.0,26.0,30.0,0.0,0.0,0.0,Low rank stability
final_gelatin_conc_pctw_or_v,75,0.4374175310307809,0.33467022220277004,0.5611294848422433,13.0,14.0,10.0,19.0,0.0,0.0001,0.043,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.43901026466680554,0.1673083209570791,12.88,12.0,11.0,16.0,0.0,0.04,0.24,Low rank stability
final_gellan_conc_pctw_or_v,75,0.0183317319847218,0.014252341946818898,0.023975009352712497,34.0,35.0,34.0,35.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.018286289585365587,0.007464507588517584,33.52,34.0,32.0,35.0,0.0,0.0,0.0,Low rank stability
final_gelma_conc_pctw_or_v,75,0.15010372690794188,0.11761972179583859,0.18670704304370414,23.0,23.0,23.0,25.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.1507314552720859,0.05894503572763228,23.92,24.0,22.0,27.0,0.0,0.0,0.0,Low rank stability
final_hyaluronic_acid_conc_pctw_or_v,75,0.24518838432181467,0.18514295378739706,0.3194685299736354,21.0,21.0,20.0,22.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.24718882816190882,0.09593096444695927,19.36,20.0,17.0,22.0,0.0,0.0,0.08,Low rank stability
final_meha_conc_pctw_or_v,75,0.0036817491192956795,0.002764057536806017,0.00475485456006739,41.0,41.0,41.0,41.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0036977156715045116,0.0026269587848448952,40.2,40.0,39.0,41.5,0.0,0.0,0.0,Low rank stability
final_nano_or_methylcellulose_concentration_pct_wv,75,0.9575837236150142,0.7608545327219106,1.221639793864776,2.0,2.0,2.0,5.0,0.9139,0.9934,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.958840042270357,0.5508704842536571,5.92,4.0,3.0,8.0,0.44,0.6,0.88,Moderate rank stability
final_norha_conc_pctw_or_v,75,0.004739414422191957,0.003639112108857419,0.006023829834424255,40.0,40.0,39.0,40.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0047610989613017605,0.0027507148826149876,39.0,39.0,38.0,40.0,0.0,0.0,0.0,Low rank stability
final_p127_conc_pctw_or_v,75,0.002404022242984285,0.0020361847646509974,0.0028006887408956534,42.0,42.0,42.0,43.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.00244084209383752,0.0016970066558502496,41.06,42.0,39.0,43.0,0.0,0.0,0.0,Low rank stability
final_pegda_conc_pctw_or_v,75,0.040176892522664216,0.03496717409471619,0.04561782864529624,32.0,32.0,32.0,33.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.039679974229156915,0.019854225950633332,31.52,32.0,31.0,33.0,0.0,0.0,0.0,Low rank stability
final_pegma_conc_pctw_or_v,75,0.00229121299656618,0.0019702711023298096,0.002641690161769335,43.0,43.0,42.0,43.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.002298030918514832,0.0016151438113237548,41.34,41.5,41.0,42.0,0.0,0.0,0.0,Low rank stability
final_pegta_conc_pctw_or_v,75,0.0,0.0,0.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0,0.0,43.18,43.5,42.5,44.0,0.0,0.0,0.0,Low rank stability
final_tcp_conc_pctw_or_v,75,0.0062804417856465004,0.005037412868851079,0.007914285073979082,38.0,38.0,37.0,39.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0062693766026491035,0.003246640011397654,37.86,38.0,37.0,38.0,0.0,0.0,0.0,Low rank stability
inner_nozzle_outer_diameter_um,75,0.14527265434951592,0.1157655974984309,0.1819567917837296,24.0,24.0,23.0,25.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.1456703521081465,0.07464136932364332,23.88,24.0,23.0,26.0,0.0,0.0,0.0,Low rank stability
matrigel_used,75,0.06948226713284605,0.06353350656990618,0.07533546611189636,28.0,29.0,27.0,30.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.06822715682444509,0.03866785629898216,30.22,27.0,26.0,29.0,0.0,0.0,0.0,Low rank stability
nozzle_movement_speed_mm_or_s,75,0.4871038592542872,0.41516181150204906,0.5694913740455648,11.0,11.0,9.0,15.0,0.0,0.0,0.1365,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.49138538587878755,0.19273713508882376,11.44,11.0,8.0,15.0,0.0,0.08,0.44,Low rank stability
outer_nozzle_inner_diameter_um,75,0.43579608317019924,0.37263935075994614,0.508548070830696,14.0,14.0,11.0,17.0,0.0,0.0,0.0095,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.4382807651564887,0.20234902110011393,13.4,12.0,11.0,17.0,0.0,0.04,0.16,Low rank stability
photocrosslinking_duration_s,75,0.27765885206467056,0.23340123649100616,0.3263802476925152,20.0,20.0,19.0,22.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.2769615269932194,0.10785185296654713,18.2,19.0,17.0,21.0,0.0,0.0,0.08,Low rank stability
photoinitiator_used,75,0.12772030276143972,0.10871900096622367,0.14903247771402098,25.0,25.0,24.0,26.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.12839903186272209,0.065677067184601,24.88,25.0,23.0,27.0,0.0,0.0,0.0,Low rank stability
physical_crosslinking_duration_s,75,0.5786084949642891,0.5127527521906684,0.6505824821475097,9.0,9.0,7.0,11.0,0.0,0.0006,0.9442,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.5799540933560499,0.174930414250707,9.2,9.0,7.0,11.0,0.12,0.16,0.72,Low rank stability
precrosslinking_solution_used,75,0.06485109292557933,0.04704980626623283,0.09152785014903063,30.0,30.0,27.0,31.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.06530091355338055,0.039312773217521434,29.72,29.0,28.0,32.0,0.0,0.0,0.0,Low rank stability
primary_or_not_primary,75,0.3410111747787016,0.30406366754750735,0.38010104347890605,19.0,19.0,17.0,19.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.34392269713690693,0.13486670971758116,16.24,18.0,16.0,20.0,0.0,0.0,0.16,Low rank stability
saline_solution_used,75,0.4342042130150717,0.3679958748743778,0.5081581686200349,15.0,14.0,11.0,18.0,0.0,0.0,0.0109,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.44060657906765566,0.27287550186419424,13.64,14.0,11.0,18.0,0.12,0.12,0.24,Low rank stability
source_nacl2_concentration_mm,75,0.2384090691127002,0.20831498497608658,0.2745891423282593,22.0,22.0,20.0,22.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.23581057733217686,0.08786848850606281,19.64,19.0,17.0,21.0,0.0,0.0,0.0,Low rank stability
srcl2_conc_mm,75,0.010712048492412873,0.007610710435454523,0.0154847311384515,36.0,36.0,36.0,36.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.010749203471920304,0.006591681873019979,36.04,36.0,34.0,37.0,0.0,0.0,0.0,Low rank stability
substrate_temperature_degc,75,0.4192355926958086,0.33068666535423047,0.524706969435726,16.0,15.0,11.0,19.0,0.0,0.0,0.0084,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.41714726974033506,0.2689924257058381,14.0,14.0,12.0,17.0,0.08,0.08,0.16,Low rank stability
syringe_temperature_degc,75,0.6038756245371263,0.5065213412232983,0.7151683518339814,8.0,8.0,6.0,11.0,0.0004,0.0148,0.9724,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.5984008849509673,0.22956949450145345,9.72,8.0,7.0,13.0,0.04,0.12,0.64,Low rank stability
cacl2_conc_mm,54,14.28358751124584,9.694550274867575,20.265068134164878,7.0,8.0,7.0,12.0,0.0,0.0001,0.8206,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,14.601239866338323,10.274205592637692,8.84,9.0,7.0,11.0,0.04,0.12,0.68,Low rank stability
cell_density_cells_or_ml,54,12.434278168486507,9.877283413752824,15.279928504209972,11.0,10.0,7.0,12.0,0.0,0.0,0.6443,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,12.404032384813155,5.624017526146828,9.4,9.0,8.0,11.0,0.0,0.04,0.68,Low rank stability
conical_or_straight_nozzle,54,46.2120498667303,35.77457558555451,58.97577747532225,2.0,2.0,2.0,3.0,0.9826,1.0,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,46.21640860672027,28.09968713442816,4.28,3.0,2.0,4.0,0.68,0.8,0.88,High rank stability
days_observed,54,30.844868537135927,25.962200087617354,37.10334278851983,6.0,5.0,3.0,6.0,0.0572,0.6379,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,30.819652241464915,10.2134591591718,4.44,4.0,4.0,5.0,0.24,0.8,1.0,Moderate rank stability
extrusion_pressure_kpa,54,31.72024516769446,24.13074646372116,40.56860452005041,5.0,5.0,3.0,6.0,0.1829,0.6719,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,31.903883257253145,17.814827895883553,5.0,5.0,2.0,7.0,0.32,0.56,1.0,Moderate rank stability
final_alginate_conc_pctw_or_v,54,12.743731806777593,10.380206289117382,15.568629790823978,9.0,9.0,7.0,12.0,0.0,0.0,0.7298,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,12.853590087825856,5.026877087405257,9.56,10.0,8.0,11.0,0.0,0.04,0.68,Low rank stability
final_gelatin_conc_pctw_or_v,54,8.110459190568626,6.214329715044904,10.40347027412019,13.0,13.0,12.0,14.0,0.0,0.0,0.0021,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,8.095264350336592,4.42320968099139,11.28,12.0,10.0,13.0,0.0,0.0,0.28,Low rank stability
final_gelma_conc_pctw_or_v,54,12.667383446475514,10.754640025617308,14.819574743573304,10.0,9.0,7.0,12.0,0.0,0.0,0.7627,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,12.54345920780117,5.963817537555738,9.56,10.0,7.0,12.0,0.0,0.12,0.56,Low rank stability
nozzle_movement_speed_mm_or_s,54,36.06746117281207,23.732997968672198,51.06276500864459,3.0,3.0,2.0,6.0,0.5497,0.83,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,36.115540852361235,20.724617583158842,4.6,4.0,3.0,6.0,0.44,0.64,1.0,Moderate rank stability
outer_nozzle_inner_diameter_um,54,174.60389262904621,157.51472579037494,191.9270626018134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,175.1074894166638,25.027593309454225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High rank stability
photocrosslinking_duration_s,54,13.388700679362664,11.705539364951287,15.247641654568154,8.0,8.0,7.0,11.0,0.0,0.0,0.9524,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,13.40293223751612,9.322215350855975,9.56,9.0,8.0,12.0,0.0,0.08,0.52,Low rank stability
physical_crosslinking_duration_s,54,32.865095319300025,26.78652782980875,39.80684035921106,4.0,4.0,3.0,6.0,0.2276,0.8601,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,32.791675623806235,16.84318085644494,4.68,4.0,3.0,5.0,0.28,0.76,1.0,Moderate rank stability
substrate_temperature_degc,54,6.57053747517633,5.168913110570488,8.203613073144574,14.0,14.0,13.0,14.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,6.44391130726314,4.659081422890896,12.4,14.0,12.0,14.0,0.0,0.04,0.2,Low rank stability
syringe_temperature_degc,54,10.783754708925297,9.12856404868644,12.511960400416188,12.0,12.0,10.0,13.0,0.0,0.0,0.0881,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,matched_fixed_rf,Matched fixed Random Forest,25,14,10.76375123787875,5.5004258509328485,10.4,10.0,10.0,12.0,0.0,0.0,0.52,Low rank stability
cacl2_conc_mm,54,13.754903190351406,10.089705966119645,18.289662833114974,7.0,8.0,7.0,12.0,0.0,0.0002,0.8364,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,14.073606034121097,9.312032428552845,9.0,9.0,7.0,12.0,0.0,0.16,0.64,Low rank stability
cell_density_cells_or_ml,54,12.390215476837723,10.571041038528282,14.480550564382762,10.0,10.0,7.0,12.0,0.0,0.0,0.6739,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,12.362447458446596,5.130573000097979,9.68,10.0,8.0,11.0,0.0,0.04,0.52,Low rank stability
conical_or_straight_nozzle,54,48.50507427149677,38.516867408470404,60.19453302457973,2.0,2.0,2.0,3.0,0.9988,1.0,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,48.52784441434217,26.371642511302788,3.88,2.0,2.0,3.0,0.84,0.84,0.88,High rank stability
days_observed,54,24.73210379438834,21.418765953573505,28.636869286680064,6.0,6.0,5.0,6.0,0.0003,0.18,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,24.881614426712957,8.859464804271763,5.28,5.0,4.0,6.0,0.04,0.72,0.96,Low rank stability
extrusion_pressure_kpa,54,29.42036282697774,22.71578172684326,37.61319892014796,5.0,5.0,3.0,6.0,0.1226,0.8757,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,29.644332244424174,18.193423305063114,5.4,6.0,3.0,7.0,0.36,0.48,1.0,Low rank stability
final_alginate_conc_pctw_or_v,54,10.888046357385416,8.938509709814634,13.169849304249205,12.0,12.0,8.0,13.0,0.0,0.0,0.1545,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,10.983681588943258,5.203400163489197,10.2,10.0,8.0,12.0,0.0,0.04,0.52,Low rank stability
final_gelatin_conc_pctw_or_v,54,7.821973944386758,6.302993963542502,9.4862429663374,14.0,14.0,13.0,14.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,7.787061707623325,3.3205999579253893,11.36,12.0,10.0,13.0,0.0,0.0,0.36,Low rank stability
final_gelma_conc_pctw_or_v,54,12.98532293926401,11.026149328259185,15.139824763741412,9.0,9.0,7.0,12.0,0.0,0.0,0.8434,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,12.905907433763728,6.311100128049365,9.56,10.0,8.0,11.0,0.0,0.12,0.6,Low rank stability
nozzle_movement_speed_mm_or_s,54,34.21709713127371,23.106378659664855,47.69968643428022,3.0,3.0,2.0,6.0,0.5457,0.9462,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,34.34223387701385,19.014547350771995,4.8,4.0,3.0,6.0,0.44,0.64,0.96,Moderate rank stability
outer_nozzle_inner_diameter_um,54,147.01765013181105,132.53642642868357,161.82367715445028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,147.69523862980802,43.43700263777212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High rank stability
photocrosslinking_duration_s,54,13.393676256444282,11.754865980709209,15.1979927868697,8.0,8.0,7.0,11.0,0.0,0.0,0.9648,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,13.430744607737111,8.125052599541869,9.64,9.0,8.0,12.0,0.0,0.08,0.56,Low rank stability
physical_crosslinking_duration_s,54,32.291571878786606,27.40664241478258,37.58722161953775,4.0,4.0,3.0,5.0,0.3326,0.9979,1.0,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,32.34357423629533,13.627526315880855,4.24,4.0,3.0,5.0,0.32,0.84,1.0,High rank stability
substrate_temperature_degc,54,8.389708462479726,6.5418477354872255,10.485114821426752,13.0,13.0,12.0,14.0,0.0,0.0,0.001,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,8.23461271370114,4.242103787953696,11.2,11.0,10.0,13.0,0.0,0.0,0.4,Low rank stability
syringe_temperature_degc,54,11.98513027260602,10.565092718707858,13.50240787522848,11.0,10.0,8.0,12.0,0.0,0.0,0.526,filament_diameter,filament_diameter,Filament diameter,µm,core_physics,tuned_rf_reference,Tuned Random Forest,25,14,11.978478115856829,5.353216059196784,9.76,10.0,8.0,12.0,0.0,0.04,0.6,Low rank stability
bacl2_conc_mm,54,0.0,0.0,0.0,39.5,39.5,39.5,39.5,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,0.0,0.0,38.76,39.0,38.5,39.0,0.0,0.0,0.0,Low rank stability
cacl2_conc_mm,54,6.735563567165325,4.882072534655367,9.033695241109868,13.0,13.0,10.0,18.0,0.0,0.0,0.0828,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,6.908021214603471,4.593566312947999,15.16,16.0,11.0,19.0,0.0,0.0,0.24,Low rank stability
cell_culture_medium_used,54,4.679721789702479,3.8715302605609554,5.574054313511824,20.0,19.0,16.0,22.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,4.567011167850819,3.3492729032936244,18.32,20.0,16.0,21.0,0.0,0.0,0.16,Low rank stability
cell_density_cells_or_ml,54,6.325428555798647,5.077107915540919,7.776928025632896,14.0,14.0,11.0,18.0,0.0,0.0,0.0037,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,6.3382953653141145,4.34846746410313,15.76,16.0,14.0,19.0,0.0,0.0,0.2,Low rank stability
conical_or_straight_nozzle,54,33.75249874745713,26.035200753642087,43.80647479755495,3.0,3.0,2.0,5.0,0.8698,0.9822,1.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,33.82507168916967,26.135741143846687,7.52,4.0,2.0,8.0,0.4,0.64,0.8,Moderate rank stability
construct_base_area_mm_2,54,42.274550544328186,34.21632195379911,51.08161420030361,2.0,2.0,2.0,3.0,0.9963,0.9999,1.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,42.53955210844524,16.599131809465014,3.48,3.0,2.0,4.0,0.64,0.84,1.0,High rank stability
construct_total_thickness_mm,54,14.55260705813356,12.103957936978459,17.188941963903673,9.0,9.0,8.0,9.0,0.0,0.0,1.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,14.45012036421678,8.604956090628372,9.12,10.0,6.0,11.0,0.0,0.16,0.56,Low rank stability
days_observed,54,28.140185004281015,24.58814709046281,32.217924463309004,4.0,4.0,3.0,6.0,0.0414,0.9323,1.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,28.219823355104296,7.875186534729664,4.72,5.0,4.0,5.0,0.2,0.8,1.0,High rank stability
di_water_used,54,26.61572699979677,22.635265703950147,31.065374870319957,5.0,5.0,3.0,7.0,0.0634,0.7862,1.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,26.483624356983277,20.39942197930528,6.28,7.0,4.0,8.0,0.2,0.4,0.92,Low rank stability
enzymatic_crosslinker_used,54,2.4160151283048283,2.0282151988677186,2.8725599091595346,27.0,26.0,25.0,27.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,2.348903066886002,1.9743477257812505,24.04,23.0,21.0,28.0,0.0,0.0,0.04,Low rank stability
etoh_solution_used,54,2.4977943565805316,1.1131207009725959,4.957749626936223,25.0,26.0,18.0,29.0,0.0,0.0,0.0001,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,2.5259482083099165,5.089973637357971,27.2,30.0,26.0,32.0,0.0,0.04,0.08,Low rank stability
extrusion_pressure_kpa,54,22.68342434856097,16.39706006053678,30.031777507130517,6.0,6.0,4.0,8.0,0.0176,0.1673,1.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,22.802994736205022,13.644607207251344,6.96,6.0,4.0,8.0,0.24,0.44,0.84,Low rank stability
extrusion_rate_lengthwise_mm_or_s,54,5.530031940512982,3.8743147857908475,7.720512207288749,17.0,17.0,12.0,22.0,0.0,0.0,0.0068,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,5.709794349220524,7.499780579319495,18.68,19.0,17.0,23.0,0.04,0.08,0.08,Low rank stability
extrusion_rate_volume_wise_ml_or_s,54,8.232062161946233,6.013409358853142,10.920165187497606,10.0,10.0,10.0,15.0,0.0,0.0,0.5119,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,8.060372128239855,5.73264599373536,14.08,14.0,10.0,17.0,0.0,0.04,0.28,Low rank stability
final_agarose_concentration_pct_wv,54,1.2298161884091134,0.9734922213923113,1.5076943728624477,29.0,29.0,28.0,31.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,1.227677676658389,0.7722480033404884,28.42,27.0,26.0,29.0,0.0,0.0,0.0,Low rank stability
final_alginate_conc_pctw_or_v,54,7.8315120361157495,6.626126647409869,9.234451125947244,11.0,11.0,10.0,14.0,0.0,0.0,0.3026,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,7.883410710951718,3.1624161172546295,13.04,13.0,11.0,14.0,0.0,0.0,0.2,Low rank stability
final_collagen_conc_pctw_or_v,54,0.9002884351314456,0.4801901416983754,1.6249867069054393,31.0,31.0,27.0,33.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,0.9109000215298486,1.3180040995126814,29.76,32.0,28.0,33.0,0.0,0.0,0.0,Low rank stability
final_fibroin_or_fibrinogen_concentration_pct_wv,54,1.0174590398612195,0.7820631381289672,1.3304326691043526,30.0,30.0,29.0,31.0,0.0,0.0,0.0,filament_diameter,filament_diameter,Filament diameter,µm,full_retrospective,matched_fixed_rf,Matched fixed Random Forest,25,40,1.0162414387461736,0.9270400900043883,28.92,30.0,26.0,32.0,0.0,0.0,0.0,Low rank stability
