dataset,target_key,feature_set,model_variant,task_id,observed_feature_count,minimum_task_rank,maximum_task_rank,task_rank_sum,minimum_task_importance,maximum_task_importance,original_feature_count,expected_rank_sum,feature_count_matches_inventory,minimum_rank_valid,maximum_rank_valid,rank_sum_valid
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r04__f05,15,1.0,15.0,120.0,0.1082098575044602,2.035752364385452,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r05__f01,15,1.0,15.0,120.0,0.1614744619138026,2.186240496811916,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r05__f02,15,1.0,15.0,120.0,0.1977631356729044,2.260799902830085,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r05__f03,15,1.0,15.0,120.0,0.1166502859390598,1.38299019092353,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r05__f04,15,1.0,15.0,120.0,0.1525965260527592,2.1717598306924817,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r05__f05,15,1.0,15.0,120.0,0.0720614197135208,1.4512415001999768,15,120.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r01__f01,46,1.0,43.5,1081.0,0.0,1.8316830371275723,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r01__f02,46,1.0,45.5,1081.0,0.0,2.648939509253643,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r01__f03,46,1.0,45.5,1081.0,0.0,3.5548808142469905,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r01__f04,46,1.0,45.0,1081.0,0.0,2.677976663451029,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r01__f05,46,1.0,44.5,1081.0,0.0,2.4782075333537605,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r02__f01,46,1.0,45.0,1081.0,0.0,2.723608106683511,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r02__f02,46,1.0,44.0,1081.0,0.0,1.923964423754651,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r02__f03,46,1.0,44.0,1081.0,0.0,2.2067552757683777,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r02__f04,46,1.0,45.5,1081.0,0.0,1.4347172406426874,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r02__f05,46,1.0,45.5,1081.0,0.0,2.147705891591825,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r03__f01,46,1.0,44.5,1081.0,0.0,2.16403524959022,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r03__f02,46,1.0,44.0,1081.0,0.0,1.7857516203612938,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r03__f03,46,1.0,45.0,1081.0,0.0,2.451181838229881,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r03__f04,46,1.0,45.0,1081.0,0.0,3.003731904368426,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r03__f05,46,1.0,45.0,1081.0,0.0,2.428332256010856,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r04__f01,46,1.0,44.5,1081.0,0.0,1.9038144637365872,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r04__f02,46,1.0,45.0,1081.0,0.0,2.880012540136292,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r04__f03,46,1.0,44.5,1081.0,0.0,2.4560069393564885,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r04__f04,46,1.0,44.5,1081.0,0.0,1.8748970444458104,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r04__f05,46,1.0,45.5,1081.0,0.0,1.6799042683950491,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r05__f01,46,1.0,43.5,1081.0,0.0,1.9757707227230896,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r05__f02,46,1.0,44.5,1081.0,0.0,3.0402166758293774,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r05__f03,46,1.0,45.0,1081.0,0.0,1.5411114672706805,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r05__f04,46,1.0,45.0,1081.0,0.0,2.7156712741687725,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,matched_fixed_rf,step16__cell_viability__full_retrospective__publication_grouped__r05__f05,46,1.0,45.5,1081.0,0.0,2.0266380954118044,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r01__f01,46,1.0,43.5,1081.0,0.0,1.4317502683918153,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r01__f02,46,1.0,46.0,1081.0,0.0,1.389559867635426,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r01__f03,46,1.0,46.0,1081.0,0.0,2.095498160598087,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r01__f04,46,1.0,45.0,1081.0,0.0,1.3094042640095316,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r01__f05,46,1.0,45.0,1081.0,0.0,1.8798149167659872,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r02__f01,46,1.0,45.0,1081.0,0.0,3.024914330430505,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r02__f02,46,1.0,44.5,1081.0,0.0,1.2000049719215713,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r02__f03,46,1.0,44.0,1081.0,0.0,2.0468523618774244,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r02__f04,46,1.0,46.0,1081.0,0.0,1.2281211077552867,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r02__f05,46,1.0,46.0,1081.0,0.0,1.442450244285102,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r03__f01,46,1.0,44.5,1081.0,0.0,1.902505487518251,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r03__f02,46,1.0,44.5,1081.0,0.0,1.128427892561191,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r03__f03,46,1.0,46.0,1081.0,0.0,1.7483282008755363,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r03__f04,46,1.0,45.0,1081.0,0.0,1.128712214940501,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r03__f05,46,1.0,45.5,1081.0,0.0,1.6019644341891202,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r04__f01,46,1.0,45.0,1081.0,0.0,1.1377146568293628,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r04__f02,46,1.0,45.0,1081.0,0.0,1.2124357101502283,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r04__f03,46,1.0,45.5,1081.0,0.0,1.7663663618823218,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r04__f04,46,1.0,45.0,1081.0,0.0,1.5983376729975856,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r04__f05,46,1.0,46.0,1081.0,0.0,1.1706597349507162,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r05__f01,46,1.0,44.0,1081.0,0.0,1.8425548248679469,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r05__f02,46,1.0,44.5,1081.0,0.0,2.926958053383148,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r05__f03,46,1.0,45.5,1081.0,0.0,1.062846768526432,46,1081.0,True,True,True,True
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r05__f04,46,1.0,45.5,1081.0,0.0,1.9001873857767104,46,1081.0,True,True,True,True
