dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_feature_count,task_rank
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,final_gelatin_conc_pctw_or_v,0.7720740280554022,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,final_gelma_conc_pctw_or_v,0.0624503872483911,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,nozzle_movement_speed_mm_or_s,0.2048354555804371,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,outer_nozzle_inner_diameter_um,0.6135670658603698,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,photocrosslinking_duration_s,0.3321558904826111,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,physical_crosslinking_duration_s,1.241473049604307,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,primary_or_not_primary,0.1380598980299549,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,substrate_temperature_degc,1.1448194927109598,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f04,syringe_temperature_degc,1.255768386264574,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,cacl2_conc_mm,0.2258038225172987,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,cell_density_cells_or_ml,0.5345339797072327,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,conical_or_straight_nozzle,0.627667119588269,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,days_observed,0.666081069672386,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,extrusion_pressure_kpa,2.2648326205206994,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,final_alginate_conc_pctw_or_v,0.6726555759526235,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,final_gelatin_conc_pctw_or_v,1.2714662251594897,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,final_gelma_conc_pctw_or_v,0.2821262071404408,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,nozzle_movement_speed_mm_or_s,1.1220638033698616,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,outer_nozzle_inner_diameter_um,1.6126198425782965,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,photocrosslinking_duration_s,0.4994257595031051,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,physical_crosslinking_duration_s,1.2989894234887462,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,primary_or_not_primary,0.6345117504499383,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,substrate_temperature_degc,0.3946034022309567,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r01__f05,syringe_temperature_degc,0.5530881509702132,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,cacl2_conc_mm,0.2377955605588057,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,cell_density_cells_or_ml,0.826560732461818,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,conical_or_straight_nozzle,2.0798159665161733,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,days_observed,0.4776512881867597,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,extrusion_pressure_kpa,1.3718605089651512,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,final_alginate_conc_pctw_or_v,1.4550608714352635,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,final_gelatin_conc_pctw_or_v,0.2581255880263591,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,final_gelma_conc_pctw_or_v,0.1215773673711798,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,nozzle_movement_speed_mm_or_s,0.2630672825866158,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,outer_nozzle_inner_diameter_um,0.9033073310806352,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,photocrosslinking_duration_s,0.4166312730982154,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,physical_crosslinking_duration_s,0.7614492753514612,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,primary_or_not_primary,0.2260068791769801,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,substrate_temperature_degc,0.942990968843908,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f01,syringe_temperature_degc,1.1743488451056971,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,cacl2_conc_mm,0.2392026857364575,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,cell_density_cells_or_ml,0.9272672876127468,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,conical_or_straight_nozzle,0.6219123836863888,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,days_observed,1.1765840240190568,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,extrusion_pressure_kpa,2.3198262123616757,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,final_alginate_conc_pctw_or_v,0.7913199043607629,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,final_gelatin_conc_pctw_or_v,0.524356266599289,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,final_gelma_conc_pctw_or_v,0.1499133402502399,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,nozzle_movement_speed_mm_or_s,1.0070684435314852,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,outer_nozzle_inner_diameter_um,1.387374931626186,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,photocrosslinking_duration_s,0.4706190569006562,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,physical_crosslinking_duration_s,0.3192878306515635,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,primary_or_not_primary,0.4333981862179946,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,substrate_temperature_degc,1.5094864975273086,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f02,syringe_temperature_degc,1.30192903319144,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,cacl2_conc_mm,0.3881103093957256,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,cell_density_cells_or_ml,0.5426427087717599,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,conical_or_straight_nozzle,0.5813917439543799,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,days_observed,0.9048995083072484,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,extrusion_pressure_kpa,2.5417347695199526,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,final_alginate_conc_pctw_or_v,1.2265654967314412,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,final_gelatin_conc_pctw_or_v,0.7347374239427706,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,final_gelma_conc_pctw_or_v,0.1700925629473886,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,nozzle_movement_speed_mm_or_s,1.5071851877585387,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,outer_nozzle_inner_diameter_um,0.9038838651681314,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,photocrosslinking_duration_s,0.3124392963195236,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,physical_crosslinking_duration_s,0.9756176637641902,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,primary_or_not_primary,0.2980701929718034,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,substrate_temperature_degc,1.8700865250475367,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f03,syringe_temperature_degc,0.4351320348214345,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,cacl2_conc_mm,0.4644925360211629,15,10.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,cell_density_cells_or_ml,0.6277894859037272,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,conical_or_straight_nozzle,0.5982571313037136,15,8.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,days_observed,1.3646099841549184,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,extrusion_pressure_kpa,1.5008435791448114,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,final_alginate_conc_pctw_or_v,0.988917530706072,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,final_gelatin_conc_pctw_or_v,0.3644627427640846,15,11.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,final_gelma_conc_pctw_or_v,0.2513399888577811,15,14.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,nozzle_movement_speed_mm_or_s,0.5460207654924862,15,9.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,outer_nozzle_inner_diameter_um,0.3639675456110153,15,12.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,photocrosslinking_duration_s,1.2437986986592895,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,physical_crosslinking_duration_s,1.3451756704578195,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,primary_or_not_primary,0.1736438109689788,15,15.0
