Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No)
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,4,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,7,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,1,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,4,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,7,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,1,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,4,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1000,6000000,,37,7,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1174.605,6000000,,37,1,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
Kang_Jin_Small_2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,6.67,,,0,500,1185.569,6000000,,37,5,0.785398163,0.5,Y,Y,N,Y,N,N,N,C,N
