dataset,target_key,target_column,target_label,unit,analysis_role,meta_primary_source_id,source_rows,source_observed_mean,source_observed_sd,source_minimum,source_maximum,lmm_fixed_intercept,lmm_random_intercept,lmm_conditional_source_mean,shrinkage_difference,absolute_random_intercept,random_intercept_rank
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/aacd30,6,94.76666666666667,4.014307744389645,89.1,98.0,81.76930058019815,10.436772375413637,92.20607295561179,-2.560593711054878,10.436772375413637,18
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/ab0692,4,86.405,13.947172951294949,71.85,100.0,81.76930058019815,3.3886315878070103,85.15793216800516,-1.2470678319948405,3.3886315878070103,54
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/ab15cb,6,81.38333333333334,2.44656221393748,79.0,85.0,81.76930058019815,-0.3099283557217762,81.45937222447637,0.07603889114302831,0.3099283557217762,73
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/ab19fd,8,81.4925,12.753777871673947,55.3,95.88,81.76930058019815,-0.23378277608273046,81.53551780411541,0.0430178041154079,0.23378277608273046,74
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/ab2622,9,87.54444444444444,2.815186988066296,84.2,91.9,81.76930058019815,4.9633301748280925,86.73263075502624,-0.8118136894182015,4.9633301748280925,46
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/ab38ef,1,95.0,,95.0,95.0,81.76930058019815,5.352093301479011,87.12139388167716,-7.8786061183228355,5.352093301479011,43
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/ab7553,4,53.775,7.846852872330415,44.91,60.38,81.76930058019815,-20.463443082484883,61.30585749771326,7.530857497713264,20.463443082484883,3
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1088/1758-5090/abc39b,14,73.65071428571427,6.402890530288424,62.05,86.3,81.76930058019815,-7.346158372500062,74.42314220769809,0.7724279219838195,7.346158372500062,31
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1089/biores.2013.0031,4,97.0,1.4142135623730951,96.0,99.0,81.76930058019815,11.133428741706561,92.90272932190472,-4.097270678095285,11.133428741706561,14
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1089/ten.a.2007.0004,21,60.94285714285714,11.877902652765403,42.8,85.0,81.76930058019815,-19.4621809883339,62.30711959186425,1.3642624490071071,19.4621809883339,4
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1089/ten.a.2007.0158,9,82.33333333333333,8.5,72.0,96.0,81.76930058019815,0.48474650139171344,82.25404708158986,-0.07928625174346848,0.48474650139171344,72
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1089/ten.tec.2007.0392,6,82.0,2.280350850198275,79.0,85.0,81.76930058019815,0.18524963562568372,81.95455021582383,-0.04544978417617074,0.18524963562568372,75
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1089/ten.tec.2015.0307,10,83.31,4.304844815889293,76.0,90.75,81.76930058019815,1.3430014558312886,83.11230203602943,-0.19769796397056894,1.3430014558312886,63
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1115/1.3128729,4,80.33500000000001,4.920789232091397,75.67,84.74,81.76930058019815,-1.0484537094247368,80.72084687077341,0.3858468707734062,1.0484537094247368,67
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1115/1.4024575,30,68.81833333333334,20.119310004507394,31.0,98.0,81.76930058019815,-12.345204253550929,69.42409632664722,0.6057629933138742,12.345204253550929,11
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.1115/1.4043960,2,98.03,0.7495331880577419,97.5,98.56,81.76930058019815,9.366598632122765,91.13589921232091,-6.894100787679093,9.366598632122765,23
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.18063/ijb.v5i2.2.204,19,62.04736842105264,9.893789770527363,43.5,81.0,81.76930058019815,-18.303810096830578,63.465490483367574,1.4181220623149358,18.303810096830578,5
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.18063/ijb.v6i1.250,2,55.05,1.3435028842544419,54.1,56.0,81.76930058019815,-15.391033177883486,66.37826740231466,11.328267402314665,15.391033177883486,7
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.3390/ma13194237,3,98.27,0.6221736092120939,97.62,98.86,81.76930058019815,11.069191984093298,92.83849256429144,-5.4315074357085535,11.069191984093298,15
cell_viability,cell_viability,cell_viability_percent,Cell viability,%,primary_outcome,doi:10.3390/polym12102346,2,91.0,1.1737972567696664,90.17,91.83,81.76930058019815,5.317130236954224,87.08643081715238,-3.913569182847624,5.317130236954224,44
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:akkineni gelinsky biofab 2016,2,482.21,178.65759933459307,355.88,608.54,663.5599908141538,-159.81976836997677,503.74022244417705,21.53022244417707,159.81976836997677,39
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:be22assoni khademhosseini biofab 2014,3,477.09999999999997,18.273204426153622,466.5,498.2,663.5599908141538,-171.093968461195,492.4660223529588,15.36602235295885,171.093968461195,38
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:bociaga rosinska mat 2020,3,1090.9,0.0,1090.9,1090.9,663.5599908141538,392.12325247148925,1055.6832432856431,-35.21675671435696,392.12325247148925,14
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:chen zhang appmatint 2019,3,152.96,0.0,152.96,152.96,663.5599908141538,-468.5218439794762,195.0381468346776,42.0781468346776,468.5218439794762,10
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:chung wallace biomatsci 2013,3,321.13,0.0,321.13,321.13,663.5599908141538,-314.21060246065895,349.3493883534949,28.219388353494878,314.21060246065895,20
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:cidonio oreffo biofab 2019,1,297.22,,297.22,297.22,663.5599908141538,-288.5859174547835,374.9740733593703,77.7540733593703,288.5859174547835,24
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:colosi khademhosseini advmat 2016,9,258.22266666666667,52.99435030265018,211.32,349.78,663.5599908141538,-393.5555274988089,270.00446331534494,11.781796648678267,393.5555274988089,13
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:dai 2016,1,277.74,,277.74,277.74,663.5599908141538,-303.931371986039,359.62861882811484,81.88861882811483,303.931371986039,21
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:daly kelly biofab 2016,4,477.82500000000005,156.23448114932887,265.1,641.42,663.5599908141538,-174.0138005261904,489.54619028796344,11.721190287963395,174.0138005261904,37
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:das ghosh actabiomat 2015,3,350.74333333333334,14.612755843212256,334.34,362.37,663.5599908141538,-287.03768082078756,376.52230999336626,25.778976660032924,287.03768082078756,25
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:duan butcher jbiomedmatres 2012,2,941.3,0.0,941.3,941.3,663.5599908141538,244.76617691503495,908.3261677291888,-32.97383227081116,244.76617691503495,29
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:duin 2019,2,842.7149999999999,112.380480733978,763.25,922.18,663.5599908141538,157.88537921540546,821.4453700295593,-21.269629970440633,157.88537921540546,42
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:fedorovich dhe22 tissueeng 2008,5,600.0,380.13155617496426,430.0,1280.0,663.5599908141538,-60.31010504473168,603.2498857694221,3.2498857694221215,60.31010504473168,51
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:fisch zenobi wong biofab 2021,4,1063.8049999999998,56.897869028637636,1014.53,1113.08,663.5599908141538,374.98672105224927,1038.546711866403,-25.258288133596807,374.98672105224927,15
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:gantumar sakai,2,1486.13,237.30503576620552,1318.33,1653.93,663.5599908141538,724.9129031988424,1388.4728940129962,-97.65710598700389,724.9129031988424,2
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:gao cho advfuncmat 2017,4,1222.4265,112.86714792917674,1059.551,1315.53,663.5599908141538,523.59808361335,1187.1580744275038,-35.2684255724962,523.59808361335,7
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:gao ma biomat 2015,1,930.16,,930.16,930.16,663.5599908141538,210.01531411672073,873.5753049308746,-56.58469506912536,210.01531411672073,34
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:giuseppe 2018,3,343.3333333333333,30.550504633038926,310.0,370.0,663.5599908141538,-293.83702850262387,369.72296231152995,26.38962897819664,293.83702850262387,22
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:idaszek swieszkowski biofab 2019,3,194.72166666666666,27.67364736230723,173.84,226.11,663.5599908141538,-430.2017236772321,233.3582671369217,38.63660047025505,430.2017236772321,12
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:jia khademhosseini biomat 2016,9,987.44,123.32976698672547,838.11,1160.49,663.5599908141538,314.46590350282,978.0258943169738,-9.414105683026264,314.46590350282,19
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:kang jin small 2020,12,1270.2731666666666,267.1465373919624,1000.0,1974.411,663.5599908141538,593.3900230262484,1256.9500138404023,-13.323152826264277,593.3900230262484,5
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:kilian ahlfeld akkineni bioprint 2020,12,576.9830833333334,249.3563089839183,333.28,910.8,663.5599908141538,-84.6757169092267,578.8842739049271,1.9011905715937019,84.6757169092267,48
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:kolan leu bioprintamer 2019,6,1256.2968333333333,202.9770457390851,1015.78,1561.572,663.5599908141538,567.2637430462216,1230.8237338603753,-25.473099472957983,567.2637430462216,6
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:kolesky lewis advmat 2014,4,366.9225,157.67978276135045,223.36,519.54,663.5599908141538,-277.9175691605343,385.6424216536195,18.719921653619508,277.9175691605343,26
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:kosik koziol swieszkowski biofab 2019,6,145.945,55.16094116310925,96.66,233.45,663.5599908141538,-495.37028253237156,168.18970828178226,22.244708281782266,495.37028253237156,9
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:li fu scirep 2018,8,622.420875,99.20480021715176,488.83,793.49,663.5599908141538,-39.798737704919226,623.7612531092346,1.3403781092346208,39.798737704919226,52
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:li li acsapplmatinterf 2017,2,353.56,23.532513677888282,336.92,370.2,663.5599908141538,-273.19619099063215,390.3637998235217,36.80379982352167,273.19619099063215,27
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:li xu 3biotech 2018,3,182.89666666666668,50.66042472515734,132.84,234.14,663.5599908141538,-441.0522346539815,222.50775616017233,39.61108949350566,441.0522346539815,11
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:li zhou addman 2021,4,513.2988250000001,150.2904695312464,307.47,667.041,663.5599908141538,-140.7786245348899,522.7813662792639,9.482541279263842,140.7786245348899,44
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:lim levato advhealthmat 2020,4,351.135,72.89485601421636,281.83,419.0,663.5599908141538,-292.7087663591062,370.8512244550476,19.71622445504761,292.7087663591062,23
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:liu zhang advhealthmat 2017,3,631.1333333333333,20.140641333714587,608.85,648.04,663.5599908141538,-29.754401939530386,633.8055888746235,2.6722555412901556,29.754401939530386,54
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:markstedt mantas biomacromol 2015,2,556.4343,159.06268047842022,443.96,668.9086,663.5599908141538,-94.40752114477401,569.1524696693798,12.71816966937979,94.40752114477401,46
filament_diameter,filament_diameter,filament_diameter_um,Filament diameter,µm,secondary_engineering_outcome,ref:mistry yang biomacromolj 2018,30,800.0,0.0,800.0,800.0,663.5599908141538,135.22554281264706,798.7855336268009,-1.2144663731991159,135.22554281264706,45
