dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,model_key,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_true_mean,source_predicted_mean
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1038/srep29977,1,3,11.974104750131824,13.286800223976849,-0.6706699224335892,77.76666666666667,77.09599674423308
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1039/c3bm00012e,1,6,14.853457096314743,14.96719611971096,-14.853457096314743,95.5,80.64654290368526
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1039/c4bm00234b,1,3,21.353916121880534,28.80494314636757,19.395081698974938,61.666666666666664,81.0617483656416
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/0960-1317/22/8/085014,1,4,14.948799422416837,15.051141975310022,-14.948799422416837,93.05,78.10120057758317
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5082/5/2/025004,1,3,17.150183657763524,17.182482020473874,-17.150183657763524,96.16666666666667,79.01648300890314
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5082/6/2/024105,1,9,7.883788089700214,9.127721175679486,-2.933954679890533,85.5,82.56604532010948
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5082/6/3/035001,1,4,15.80081354194482,20.5492608378154,7.972070887854521,73.5,81.47207088785453
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/7/4/044101,1,3,18.241767655843518,20.725442499728036,3.182337301641032,79.94333333333333,83.12567063497437
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/7/4/044102,1,10,8.602748134925648,10.140280932073333,1.3590006487352349,76.914,78.27300064873523
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/7/4/045012,1,11,12.827804984860682,13.496873435303565,-9.472540210443139,88.35454545454546,78.88200524410232
