dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,repeat,model_key,model_display_name,feature_set_display_name,validation_display_name,prediction_rows,publication_count,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,1,rbf_svr,RBF-SVR,Core physics,Random row-wise,608,75,8.725139111223651,5.428471010093805,13.617919502235084,1.1133372204031093,0.35758324204077463,0.620498067319283,14.796914514536772,0.8031101574910688,8.751530673496044,10.404183657970574,3.787928001665575,3.787928001665576,6.619643705316175,0.6736681525720034,0.8234022134737549
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,1,ridge,Ridge regression,Core physics,Random row-wise,608,75,11.724351160728592,9.03653092355416,15.683578970275116,-0.1828928582057886,0.147909573133843,0.3942654408021743,14.439635324774361,0.8206961923329691,12.909180543977987,14.528815484573924,9.475148133747208,9.475148133747208,12.148594708183577,-0.09911293184172787,0.3099415378662821
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,2,elastic_net,Elastic Net,Core physics,Random row-wise,608,75,11.688487828280115,8.891522304040457,15.614000505955163,-0.02189594427466184,0.15545321263684908,0.39931029279165065,10.908339048213904,0.8633603518346993,12.415194299802408,14.024210944219712,8.865798310935656,8.865798310935656,11.503263231645551,0.014555100127865761,0.3548478068708912
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,2,random_forest,Random Forest,Core physics,Random row-wise,608,75,7.655789845034957,4.824954166666529,11.781479754351913,-0.1634982420372867,0.5191661668182423,0.7212264618822923,3.35448243004795,0.9598775043223472,7.912276783194544,9.302096026106542,3.0138018009525043,3.013801800952506,4.855436500604348,0.8244314235317618,0.9186820872184324
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,2,rbf_svr,RBF-SVR,Core physics,Random row-wise,608,75,8.513468884818273,5.432842475301786,13.355966659687484,1.3336158151366995,0.38206045530825083,0.6338712046121902,11.24610938928259,0.8447487310695636,8.420685235444699,9.98238928024089,3.727061773881379,3.727061773881379,6.293841848856856,0.7050000911098568,0.8459688586909374
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,2,ridge,Ridge regression,Core physics,Random row-wise,608,75,11.650192105091438,9.048821201356219,15.588979125303492,-0.027160332625106046,0.15815781033147025,0.4050283848970861,12.7159629900451,0.8407277673193108,12.500224734425695,14.124392216750918,8.978849113521662,8.978849113521662,11.636350267820672,-0.00837902007553204,0.3524259945076115
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,3,elastic_net,Elastic Net,Core physics,Random row-wise,608,75,11.694946139144873,9.267460650354707,15.645987416665431,0.2704025524302733,0.1519893836685744,0.39302146378236913,8.295360721063249,0.8928810279161644,12.294558324782143,13.925783954773005,8.892538615216242,8.89253861521624,11.446067172161623,0.024330316022929455,0.3438422361677633
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,3,random_forest,Random Forest,Core physics,Random row-wise,608,75,7.812405242185186,5.1398677248677345,11.97224658017623,-0.02307221444812656,0.5034686868249263,0.7110405033318944,4.85561176326784,0.9393441690450967,8.096072784556046,9.417262947743806,2.9738650375600315,2.9738650375600297,5.562531724644104,0.769572009732459,0.8810486195994265
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,3,rbf_svr,RBF-SVR,Core physics,Random row-wise,608,75,8.523412742787436,5.192837669093244,13.230070745224605,1.3409053684363879,0.3936551838205177,0.6416116040786245,10.384481122640148,0.8553054737467201,8.394453284239091,9.851060404558904,3.740606582278921,3.740606582278922,6.60945026807593,0.6746724005942498,0.8260485030660119
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,3,ridge,Ridge regression,Core physics,Random row-wise,608,75,11.703387665433349,9.347593737737633,15.643097967710409,0.28927748994451485,0.1523025703111126,0.39326772135258886,7.99925118875038,0.8963724395615724,12.298745514446516,13.932258445232234,8.877734304318437,8.877734304318436,11.514890384109439,0.012561977215835296,0.33532331345424266
