dataset,target_key,target_label,unit,feature_set,validation_design,repeat,model_variant,model_display_name,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,merf_marginal,Marginal MERF,608,75,13.002872293419951,16.984072050459215,0.9386724191826893,0.0007388956181190176,11.638775231484436,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,tuned_rf_reference,Tuned Random Forest,608,75,12.354461267788777,16.50399288088308,1.6811817071343833,0.056431592857734025,11.114807990104646,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,4,matched_fixed_rf,Matched fixed Random Forest,608,75,13.292221038325176,17.187969673780927,1.6975564302012234,-0.02339783411647689,12.18065920365528,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,4,merf_conditional,Conditional MERF,608,75,13.272999999040197,17.268017653061552,1.9494891163422718,-0.03295238787143373,12.15590152563776,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,4,merf_marginal,Marginal MERF,608,75,13.272999999040195,17.268017653061552,1.9494891163422723,-0.03295238787143373,12.15590152563776,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,4,tuned_rf_reference,Tuned Random Forest,608,75,12.791983095725856,16.926218954161772,1.6383333536200444,0.00753489702491783,11.856731918735111,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,5,matched_fixed_rf,Matched fixed Random Forest,608,75,12.97864105743599,17.280710354220094,2.389341935720454,-0.03447147069598655,11.725317175421894,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,5,merf_conditional,Conditional MERF,608,75,12.957758193419597,17.260851437935177,2.4230148336238875,-0.03209521674865634,11.73193159469146,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,5,merf_marginal,Marginal MERF,608,75,12.957758193419597,17.260851437935177,2.4230148336238875,-0.03209521674865634,11.73193159469146,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,5,tuned_rf_reference,Tuned Random Forest,608,75,12.924776343456694,17.411321049354648,2.7923925104559797,-0.050168006236480656,11.781703981833015,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,1,matched_fixed_rf,Matched fixed Random Forest,608,75,8.311296043071213,12.13270347351424,-0.31195282544870634,0.49007007049107076,8.438798047560947,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,1,merf_conditional,Conditional MERF,608,75,8.25024218826335,12.062344414895142,-0.3797479342671689,0.495967215976301,8.333515057290379,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,1,merf_marginal,Marginal MERF,608,75,8.250242188263348,12.062344414895142,-0.3797479342671687,0.4959672159763009,8.333515057290379,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,1,tuned_rf_reference,Tuned Random Forest,608,75,7.96408016301506,12.183777284587206,-0.10710026599629566,0.48576783357146347,7.991709800364485,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,2,matched_fixed_rf,Matched fixed Random Forest,608,75,7.984092505876863,11.915305249697175,-0.284770310399396,0.5081805708114693,8.099365058099364,0.9917763157894737
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,2,merf_conditional,Conditional MERF,608,75,7.961383798066766,11.921809947805057,-0.2405972529628522,0.5076434448099656,8.077149082205278,0.9917763157894737
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,2,merf_marginal,Marginal MERF,608,75,7.961383798066765,11.921809947805057,-0.24059725296285192,0.5076434448099656,8.077149082205276,0.9917763157894737
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,2,tuned_rf_reference,Tuned Random Forest,608,75,7.656244193353368,11.866631115553385,-0.09108705826444498,0.512190537670924,7.716632780072636,0.9917763157894737
